at_ms,latency_ms,qid
493,53492.5356,np_default_60
1329,56688.1623,np_default_60
6123,68488.6561,np_default_60
6943,17987.0441,p_default_1200
7168,69266.8857,np_default_60
16255,18621.3389,p_default_1200
28385,68118.2863,np_default_60
28742,67288.7167,np_default_60
35785,67113.5573,np_default_60
39486,71825.2283,np_default_60
43141,14754.3052,p_default_1200
56323,18117.8868,p_default_1200
57005,75620.8812,np_default_60
58599,74627.9759,np_default_60
62369,71898.2856,np_default_60
66093,68733.1212,np_default_60
68671,66858.4086,np_default_60
68686,67283.4119,np_default_60
73940,62279.5996,np_default_60
74781,61626.0131,np_default_60
77491,16685.9013,p_default_1200
83125,58611.6461,np_default_60
83789,59102.1419,np_default_60
87263,55658.1033,np_default_60
92716,52344.2290,np_default_60
96138,14479.8183,p_default_1200
114331,43098.0784,np_default_60
115224,41458.6459,np_default_60
116279,15566.1059,p_default_1200
116630,43286.7655,np_default_60
130939,43724.0397,np_default_60
131135,44558.1442,np_default_60
153326,73651.3109,np_default_60
156762,17010.1240,p_default_1200
161136,94934.2314,np_default_60
163962,95166.4247,np_default_60
168968,15932.7304,p_default_1200
180638,85682.9499,np_default_60
189209,26127.5564,p_default_1200
194062,81840.0871,np_default_60
197812,41254.9793,p_default_1200
197919,77463.9004,np_default_60
198405,41563.8630,p_default_1200
212741,66643.6184,np_default_60
214865,66078.3520,np_default_60
223471,58414.3923,np_default_60
224129,34803.1725,p_default_1200
227800,32198.3703,p_default_1200
230335,53094.9463,np_default_60
