at_ms,latency_ms,qid
1479,42191.0606,np_default_60
3984,13384.1651,p_default_1200
3988,43134.0089,np_default_60
18369,35534.7838,np_default_60
21503,35689.3871,np_default_60
24829,13364.1034,p_default_1200
57543,12399.5883,p_default_1200
85156,28914.3645,np_default_60
86226,30799.2362,np_default_60
107354,28559.4104,np_default_60
118458,27342.6409,np_default_60
171014,59999.2031,np_default_60
175797,59363.0295,np_default_60
187108,60207.4732,np_default_60
187238,28127.8942,p_default_1200
192592,33501.6293,p_default_1200
198278,54472.3051,np_default_60
201027,29188.4069,p_default_1200
206012,50251.3672,np_default_60
206058,48309.8289,np_default_60
221821,35075.1547,np_default_60
224342,33399.1462,np_default_60
