at_ms,latency_ms,qid
740,27816.4448,np_greedy_60
1994,54137.1771,np_greedy_60
8479,38934.4168,p_greedy_1200
9185,46413.9370,np_greedy_60
10752,45469.5379,np_greedy_60
42578,35188.0461,np_greedy_60
43113,35409.2818,np_greedy_60
53677,31430.3404,np_greedy_60
58506,36268.0685,p_greedy_1200
59229,47784.1506,np_greedy_60
85507,37183.7402,np_greedy_60
87899,34601.6304,np_greedy_60
93554,28759.1883,np_greedy_60
98778,37139.0997,p_greedy_1200
99139,44247.1921,np_greedy_60
103006,40624.8458,np_greedy_60
103029,40767.0753,np_greedy_60
110349,41998.8044,p_greedy_1200
110910,45249.1507,np_greedy_60
112171,44017.9917,np_greedy_60
124688,47816.6476,np_greedy_60
125684,44308.4821,np_greedy_60
130895,41338.3586,np_greedy_60
139074,40845.5134,np_greedy_60
154815,29220.1484,p_greedy_1200
161189,37291.5862,p_greedy_1200
171497,30082.4586,np_greedy_60
172836,36359.6427,np_greedy_60
174944,35372.9157,np_greedy_60
187006,35553.3263,p_greedy_1200
196408,30414.9323,np_greedy_60
196703,31905.7862,np_greedy_60
207598,27457.6763,p_greedy_1200
229989,32471.5251,np_greedy_60
