at_ms,latency_ms,qid
740,36521.8317,np_default_60
1994,37813.0232,np_default_60
8479,14460.0346,p_default_1200
9185,38476.2640,np_default_60
10752,37515.1700,np_default_60
42578,36508.3334,np_default_60
43113,36038.7695,np_default_60
53677,35516.1799,np_default_60
58506,13855.3307,p_default_1200
59229,37990.3908,np_default_60
85507,50808.8390,np_default_60
87899,50785.8569,np_default_60
93554,51638.3181,np_default_60
98778,20288.0282,p_default_1200
99139,50714.3611,np_default_60
103006,50048.3130,np_default_60
103029,49984.2175,np_default_60
110349,19832.7659,p_default_1200
110910,44099.5031,np_default_60
112171,45800.4102,np_default_60
124688,43797.4191,np_default_60
125684,40679.2713,np_default_60
130895,43656.3481,np_default_60
139074,47779.8298,np_default_60
154815,22137.7818,p_default_1200
161189,21764.0198,p_default_1200
171497,53068.4534,np_default_60
172836,51577.5714,np_default_60
174944,49373.3630,np_default_60
187006,14628.1516,p_default_1200
196408,40391.5592,np_default_60
196703,41487.9108,np_default_60
207598,13651.7883,p_default_1200
229989,26821.4500,np_default_60
