at_ms,latency_ms,qid
493,36952.1419,np_greedy_60
1329,66382.8704,np_greedy_60
6123,61301.9730,np_greedy_60
6943,72252.8692,p_greedy_1200
7168,60755.2011,np_greedy_60
16255,63077.7668,p_greedy_1200
28385,39609.4123,np_greedy_60
28742,39160.8718,np_greedy_60
35785,32074.6813,np_greedy_60
39486,64138.8017,np_greedy_60
43141,84316.9362,p_greedy_1200
56323,71158.8481,p_greedy_1200
57005,46800.1863,np_greedy_60
58599,47290.3469,np_greedy_60
62369,43179.6781,np_greedy_60
66093,39255.1509,np_greedy_60
68671,44019.1875,np_greedy_60
68686,43806.2360,np_greedy_60
73940,43024.4341,np_greedy_60
74781,42556.0084,np_greedy_60
77491,69377.5286,p_greedy_1200
83125,64617.5473,np_greedy_60
83789,64219.7344,np_greedy_60
87263,60859.8058,np_greedy_60
92716,56096.8373,np_greedy_60
96138,66966.5384,p_greedy_1200
114331,46520.3017,np_greedy_60
115224,45416.3632,np_greedy_60
116279,57552.2589,p_greedy_1200
116630,44487.3878,np_greedy_60
130939,49661.8685,np_greedy_60
131135,49145.8860,np_greedy_60
153326,36935.7347,np_greedy_60
156762,41253.6571,p_greedy_1200
161136,31328.7948,np_greedy_60
163962,41379.5777,np_greedy_60
168968,44222.3364,p_greedy_1200
180638,41621.6791,np_greedy_60
189209,53307.1170,p_greedy_1200
194062,33500.3121,np_greedy_60
197812,55924.3900,p_greedy_1200
197919,31341.0876,np_greedy_60
198405,67204.4998,p_greedy_1200
212741,34824.5209,np_greedy_60
214865,44348.8777,np_greedy_60
223471,40247.7397,np_greedy_60
224129,58770.9431,p_greedy_1200
227800,56787.5964,p_greedy_1200
230335,44966.4847,np_greedy_60
