at_ms,latency_ms,qid
1479,28403.5391,np_greedy_60
3984,59538.8178,p_greedy_1200
3988,53101.2182,np_greedy_60
18369,38588.7134,np_greedy_60
21503,35258.6061,np_greedy_60
24829,38536.0781,p_greedy_1200
57543,18059.1635,p_greedy_1200
85156,27254.5254,np_greedy_60
86226,56322.7168,np_greedy_60
107354,33884.9461,np_greedy_60
118458,51676.3823,np_greedy_60
171014,27978.0814,np_greedy_60
175797,49734.6860,np_greedy_60
187108,38284.8720,np_greedy_60
187238,47847.7951,p_greedy_1200
192592,42832.2021,p_greedy_1200
198278,27619.9473,np_greedy_60
201027,57276.6854,p_greedy_1200
206012,52171.3020,np_greedy_60
206058,52730.1313,np_greedy_60
221821,36451.9851,np_greedy_60
224342,34566.9034,np_greedy_60
