timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5204.92,386,262144,64,57893,3814792970,417,23,576,1990835,0,21,22596,59,68,4,122690,116527042,1154,1,4,17904,71648354,22,285300768,67,10341,1975525,3,190557,576,48712,34832587460,73888906,206583486,1240300875,576,1750,0,3,1,4,4,19194,3,1234195704,1203851105,293391915,73077602,73241442,3,1,3799183368,73389,73389,4,4,4,73061222,20,3,299432,43286876,2350570,72123,10277,1234195704,1918712,71540753,30800
10310.41,779,262144,64,123248,8121752732,834,47,576,3317266,0,21,48354,59,68,4,122690,117395794,1154,1,4,17904,153147821,22,611686304,67,21555,4090053,3,190557,576,102000,74195733316,159060891,446400304,2599614584,576,1750,0,3,1,4,4,19194,3,2586894709,2559673644,632755714,155898478,156062318,3,1,8105016952,73389,73389,4,4,4,155865714,20,3,491050,84297338,4215562,205785,21496,2586894709,3111481,154848740,30800
15410.99,1110,262144,64,175835,11586301958,1176,75,585,4283356,0,21,69025,59,68,4,122690,118894890,1172,1,4,17904,218765749,22,873576652,67,30612,5983548,3,190557,585,145036,106096707260,225402708,674818933,3696592020,585,1785,0,3,1,4,4,19194,3,3678493056,3650745781,940736410,222538056,222652744,3,1,11571126976,73389,73389,4,4,4,222521676,20,3,691378,121936421,5862636,271217,30546,3678493056,4012139,219546003,30955
20451.46,1531,262144,64,243767,16063318394,1614,94,585,5496357,0,21,95834,59,68,4,122690,119208606,1172,1,4,17904,303494336,22,1213285356,67,42315,7762386,3,190557,585,200626,147099077712,311199950,912922854,5115970414,585,1785,0,3,1,4,4,19194,3,5090954030,5059900832,1271859861,308539143,308766360,3,1,16042443800,73389,73389,4,4,4,308508538,20,3,931103,164570447,7754805,318780,42253,5091085102,5177754,303452272,30955
25496.83,1919,262144,64,307489,20261484166,2025,112,594,6637875,0,21,120903,59,68,4,122690,121020052,1190,1,4,17904,382956107,22,1530734220,67,53256,9878799,3,190557,594,252540,185316674076,393953459,1141247452,6441575151,594,1813,0,3,1,4,4,19194,3,6410113860,6381771833,1595337398,389347390,389511230,3,1,20246064312,73389,73389,4,4,4,389347394,20,3,1184328,203714073,9672409,364377,53189,6410113860,6273498,384290192,31120
30986.13,2270,262144,64,364307,24004559006,2397,139,594,7640793,0,21,143304,59,68,4,122690,121020052,1190,1,4,17904,453964113,22,1814951328,67,63019,11875387,3,190557,594,298932,219617757352,466160579,1404219001,7626160143,594,1813,0,3,1,4,4,19194,3,7588920613,7560224354,1940183077,461327708,461475164,3,1,23987875164,73389,73389,4,4,4,461305295,20,3,1394464,242867405,11196343,457178,62956,7588920613,7183617,454978214,31120
36423.70,2586,262144,64,414386,27304997330,2718,154,594,8629804,0,21,163100,59,68,4,122690,121020052,1190,1,4,17904,516660066,22,2065615452,67,71630,14804210,3,190557,594,339812,249767433024,533386903,1674861985,8671988748,594,1813,0,3,1,4,4,19194,3,8629539148,8598772959,2298119546,524794823,525024199,3,1,27286774924,73389,73389,4,4,4,524745675,20,3,1679159,288100796,13115185,538178,71564,8629539148,8091626,520288432,31120
41649.43,2905,262144,64,460042,30313763456,3014,174,603,9514937,2,21,181039,59,68,4,122690,122461656,1208,1,4,17904,573348694,22,2292618920,67,79614,17868341,3,190557,603,377420,276200456616,593003531,1942107720,9639596588,601,1849,2,3,1,4,4,19194,3,9592345327,9547649326,2634830949,582589644,582720716,3,1,30294661520,73389,73389,4,4,4,582589648,20,3,1854585,328244347,14543523,583961,79553,9592345327,8930976,578479409,31327
