timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
75171.28,310,262144,64,38829,2558512914,11,293,13,576,836301,13,15256,16,72,109009924,1154,1,4,446,48256380,13,192960820,15,7012,1254489,4,77404,576,30954,13669628976,49267447,82456706,843416077,576,1531,3,1,4,4,1069,3,838835513,808619254,134750072,48991468,49007852,3,1,2547556368,73389,73389,4,4,4,48991472,11,3,133157,26301334,1223119,63457,6997,838835513,772844,48044803,15564
80271.28,420,262144,64,52413,3453809592,11,388,22,576,1110444,13,20613,16,72,113124430,1154,1,4,446,65167059,13,260603692,15,9362,1804538,4,77404,576,41602,19506476376,66886746,119720245,1127025549,576,1531,3,1,4,4,1069,3,1120884854,1090300796,190766843,66192892,66242044,3,1,3442030416,73389,73389,4,4,4,66192896,11,3,154344,35963281,1538897,75302,9349,1120884854,1035142,65349086,15564
85296.77,508,262144,64,65661,4326386346,11,472,28,576,1373136,13,25828,16,72,115284244,1154,1,4,446,81687599,13,326621092,15,11626,2198623,4,77404,576,51738,24576732168,84191600,157396068,1401961791,576,1531,3,1,4,4,1069,3,1394312973,1364925719,246944127,82997226,83029994,3,1,4315855784,73389,73389,4,4,4,82997230,11,3,177349,46398189,1821502,86949,11612,1394312973,1286187,82371571,15564
90332.18,27644,262144,64,79324,5226269134,11,561,33,576,1640452,13,31204,16,72,116502910,1154,1,4,446,98699901,13,394735004,15,13978,2626823,4,77404,576,62234,29635623264,101713465,194344445,1687119622,576,1531,3,1,4,4,1069,3,1677892793,1648392335,302525960,100268504,100350424,3,1,5213962240,73389,73389,4,4,4,100268508,11,3,189861,57053343,2114208,99249,13967,1677892793,1541203,99601617,15564
95363.44,27736,262144,64,92568,6099573156,11,646,51,576,1909831,13,36415,16,72,116527042,1154,1,4,446,115260209,13,460846788,15,16251,3089352,4,77404,576,72018,32939703008,118924708,231632482,1962654131,576,1531,3,1,4,4,1069,3,1951904900,1923460932,358045556,117082745,117099129,3,1,6088302772,73389,73389,4,4,4,117082749,11,3,211420,67487823,2394990,122628,16237,1951904900,1787203,116531701,15564
100376.65,27847,262144,64,106357,7007930668,11,732,52,576,2184681,13,41849,16,72,117106210,1154,1,4,446,132489391,13,529763784,15,18614,3447269,4,77404,576,82518,37824279560,136918000,268688905,2250143408,576,1531,3,1,4,4,1069,3,2237816866,2209328823,414070465,134556664,134605816,3,1,6996946560,73389,73389,4,4,4,134556668,11,3,232105,77736014,2722202,137112,18602,2237816866,2047569,134198656,15564
105396.46,27949,262144,64,119258,7857163130,11,818,61,576,2435222,13,46930,16,72,117106210,1154,1,4,446,148561262,13,594180368,15,20827,3842784,4,77404,576,92406,42694592520,153901085,305380602,2517080428,576,1531,3,1,4,4,1069,3,2503278872,2476615963,468910576,150873796,150922948,3,1,7845437424,73389,73389,4,4,4,150873800,11,3,258808,87927716,3085322,148400,20814,2503278872,2286822,150818254,15564
110427.92,28044,262144,64,132820,8751898834,11,900,65,576,2695784,13,52275,16,72,117395794,1154,1,4,446,165546498,13,662056748,15,23168,4132311,4,77404,576,103078,48859485840,171521869,342455150,2801657103,576,1531,3,1,4,4,1069,3,2786295321,2758617035,524989312,168101511,168101511,3,1,8741278604,73389,73389,4,4,4,168101515,11,3,275015,98231079,3379690,159867,23153,2786295321,2535917,168144748,15564
115440.67,28156,262144,64,145737,9603181350,15,987,71,585,2999860,13,57358,20,72,118894890,1172,1,4,446,181601809,13,726277872,19,25390,4516453,4,130925,585,113050,53973306128,188366710,383445915,3070261534,585,1560,3,1,4,4,1069,3,3053428221,3026216400,583695954,184436742,184535046,3,1,9590710616,73389,73389,4,4,4,184436746,11,3,309781,108394702,3713050,224557,25377,3053428221,2775303,184657256,15671
120453.73,28242,262144,64,159363,10499565432,15,1074,75,585,3270205,13,62697,20,72,118894890,1172,1,4,446,198580049,13,793997100,19,27730,5817827,4,130925,585,123742,60170042848,206449123,440122827,3354428317,585,1560,3,1,4,4,1069,3,3336047264,3308658245,659799685,201689921,201722689,3,1,10487023956,73389,73389,4,4,4,201673541,11,3,340737,121094835,4025487,236751,27713,3336047264,3033454,202425950,15671
125487.20,28342,262144,64,172964,11396302004,15,1158,82,585,3529983,13,68061,20,72,119208606,1172,1,4,446,215539463,13,862093084,19,30075,6444615,4,130925,585,134610,67174842576,224358289,496071482,3639482365,585,1560,3,1,4,4,1069,3,3619545220,3591024620,734873091,218897378,218979298,3,1,11381811720,73389,73389,4,4,4,218880998,11,3,377106,133126189,4384143,249058,30056,3619545220,3280925,219978084,15671
130538.09,28429,262144,64,186458,12287824058,15,1249,87,585,3795363,13,73411,20,72,119208606,1172,1,4,446,232490063,13,929895588,19,32414,7018437,4,130925,585,145614,74881567624,242161918,553146903,3923048137,585,1560,3,1,4,4,1069,3,3901568348,3871871621,811132073,236083689,236083689,3,1,12276351860,73389,73389,4,4,4,236083693,11,3,415272,144343047,4757386,268463,32395,3901568348,3526900,237408917,15671
135565.33,28514,262144,64,200231,13195157126,15,1336,91,585,4123668,13,78842,20,72,119208606,1172,1,4,446,249696884,13,998787536,19,34761,7658915,4,130925,585,156798,83294773184,260092809,610106628,4207929919,585,1560,3,1,4,4,1069,3,4184878128,4157189783,887147794,253524840,253573992,3,1,13183291712,73389,73389,4,4,4,253524844,11,3,446098,155771085,5099312,353843,34744,4184878128,3769825,254997920,15671
140588.31,28633,262144,64,215021,14167583792,17,1435,98,585,4404604,13,84671,22,72,119208606,1172,1,4,446,268146208,13,1072326184,21,37317,8426091,4,170431,585,168666,91045726088,279176826,669501641,4517160084,585,1560,3,1,4,4,1069,3,4492409540,4463575956,967326341,272246546,272262930,3,1,14156820424,73389,73389,4,4,4,272246550,11,3,477708,168522442,5460343,367180,37296,4492409540,4037424,273721431,15671
145601.53,28735,262144,64,230775,15205371108,17,1537,109,585,4712466,13,90875,22,72,119208606,1172,1,4,446,287817222,13,1150945684,21,40040,9461799,4,170431,585,181282,99100997952,299802538,733696037,4847154484,585,1560,3,1,4,4,1069,3,4820616251,4790140903,1054037959,292198323,292214707,3,1,15194312828,73389,73389,4,4,4,292198327,11,3,507893,181865675,5836514,380889,40019,4820616251,4331577,293972344,15671
150631.94,28838,262144,64,246169,16220820328,17,1635,110,585,5011577,13,96944,22,72,119208606,1172,1,4,446,307037581,13,1227827640,21,42684,10396743,4,170431,585,193762,107994439512,320171070,797391235,5168186872,585,1560,3,1,4,4,1069,3,5139908650,5109791702,1139565855,311740056,311772824,3,1,16209630976,73389,73389,4,4,4,311723676,11,3,540287,194988967,6207124,394674,42665,5139908650,4616903,313969472,15671
