timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
60153.29,2,262144,64,369671,24359062346,169,8,585,3805453,2,100546,67,802,133461360,1172,1,66,54755,641663,2,6820,585,92949836,26236654,7195883733,585,653,2,1,2,2,390,1,7167975836,7124113473,571764779,553269266,553285650,2,1,24343847704,73389,73389,2,2,2,553269266,5,3,464877,18702389,4168406,106718,54689,7167975836,3698735,88784496,5267
65167.04,2,262144,64,372885,24570503472,170,8,585,3899332,2,101480,67,802,133461360,1172,1,66,55223,799756,2,6820,585,94673580,30522532,7257542870,585,653,2,1,2,2,390,1,7229317532,7185895654,589391218,558079685,558079685,2,1,24555506140,73389,73389,2,2,2,558079685,5,3,468717,21168175,4269216,110568,55157,7229317532,3788764,90407081,5267
70195.34,2,262144,64,375535,24745235680,170,8,585,3979545,2,102201,67,802,133461360,1172,1,66,55612,1110016,2,6820,585,96323085,35067139,7308794001,585,653,2,1,2,2,390,1,7280304540,7236937124,652138252,562052361,562052361,2,1,24729582988,73389,73389,2,2,2,562035977,5,3,475241,23951932,4368994,113226,55546,7280304540,3866319,91957478,5267
75227.08,2,262144,64,378461,24938055824,171,9,585,4067770,2,103053,67,802,133726812,1172,1,66,56042,1326312,2,6820,585,97735209,39417644,7365444935,585,653,2,1,2,2,390,1,7336665500,7293365131,666543509,566418253,566434637,2,1,24922403132,73389,73389,2,2,2,566418253,5,3,477002,26389117,4463976,116668,55976,7336665500,3951102,93274559,5267
80290.57,2,262144,64,380837,25094782904,171,9,585,4136214,2,103701,67,802,133726812,1172,1,66,56392,1713205,2,6820,585,98629734,43974572,7411560209,585,653,2,1,2,2,390,1,7382540700,7339166072,674401175,569975296,569997713,2,1,25078913024,73389,73389,2,2,2,569975296,5,3,478078,29159821,4524523,119305,56326,7382540700,4016909,94107213,5267
85340.32,2,262144,64,383228,25252058648,172,10,585,4222316,2,104409,67,802,133726812,1172,1,66,56743,1943684,2,6820,585,99907638,48607426,7457803663,585,653,2,1,2,2,390,1,7428546972,7385118221,708962390,573556915,573573299,2,1,25236504260,73389,73389,2,2,2,573556915,5,3,484916,31983931,4621452,140037,56677,7428546972,4082279,95289257,5267
90367.34,2,262144,64,386193,25447434696,172,10,585,4301842,2,105218,67,802,133726812,1172,1,66,57179,2161173,2,6820,585,102603912,53633168,7515240873,585,653,2,1,2,2,390,1,7485694364,7442296031,788506592,578004727,578004727,2,1,25432207988,73389,73389,2,2,2,578004727,5,3,488010,34415902,4728732,142890,57113,7485694364,4158952,97879023,5267
95411.42,2,262144,64,389063,25636584824,173,11,585,4376701,2,106053,67,802,133726812,1172,1,66,57602,2257170,2,6820,585,104247563,57922487,7570965298,585,653,2,1,2,2,390,1,7541137820,7497552859,809355109,582305083,582305083,2,1,25621423652,73389,73389,2,2,2,582305083,5,3,494747,36764104,4832575,145508,57536,7541137820,4231193,99418420,5267
100445.51,2,262144,64,391841,25819705640,173,11,585,4454238,2,106812,67,802,133992264,1172,1,66,58010,2375234,2,6820,585,105801276,62938831,7624715350,585,653,2,1,2,2,390,1,7594615196,7551052532,828228809,586457983,586474367,2,1,25804151252,73389,73389,2,2,2,586457983,5,3,496195,39261561,4914714,148217,57944,7594615196,4306021,100890744,5267
105475.38,2,262144,64,394485,25994044632,173,11,585,4527502,2,107532,67,802,133992264,1172,1,66,58398,2519231,2,6820,585,107179361,67604762,7675831908,585,653,2,1,2,2,390,1,7645471132,7602025909,920874254,590430659,590430659,2,1,25978948996,73389,73389,2,2,2,590430659,5,3,497345,42021805,4977294,152363,58332,7645471132,4375139,102206348,5267
110742.80,2,262144,64,397451,26189220764,174,11,585,4615657,2,108399,67,802,133992264,1172,1,66,58833,2756728,2,6820,585,108957476,72401146,7733267237,585,653,2,1,2,2,390,1,7702618524,7659103900,1121225079,594864246,594880630,2,1,26174026824,73389,73389,2,2,2,594864246,5,3,501145,44901735,5067480,155391,58768,7702618524,4460266,103893828,5267
115783.51,2,262144,64,400254,26373979980,174,11,585,4693564,2,109163,67,802,133992264,1172,1,66,59245,2978365,2,6820,585,110453800,77125734,7787296180,585,653,2,1,2,2,390,1,7756368630,7713129936,1140341662,599066298,599066298,2,1,26358917112,73389,73389,2,2,2,599066298,5,3,506851,47513487,5170390,158124,59179,7756368630,4535440,105288902,5267
