arrival_ms,start_ms,end_ms,latency_ms,qid
468.2038,468.2566,49978.3836,49510.1270,np_greedy_87
728.7400,728.7895,13774.5454,13045.7558,p_greedy_330
1260.5381,1260.5985,50658.0104,49397.4119,np_greedy_87
2636.4523,2636.5114,17552.5232,14916.0118,p_greedy_330
4568.8037,4568.8645,18593.5366,14024.6720,p_greedy_330
5803.9655,5804.0238,49213.2260,43409.2022,np_greedy_87
6793.7022,6793.7672,50297.4889,43503.7217,np_greedy_87
26902.6461,26902.6930,65584.8439,38682.1509,np_greedy_87
27239.3358,27239.3681,67116.5168,39877.1487,np_greedy_87
33914.9328,33914.9842,96757.8526,62842.8684,np_greedy_87
37422.6996,37422.7490,118705.6236,81282.8746,np_greedy_87
51070.7624,51070.8172,57262.4228,6191.6056,p_greedy_330
54025.3766,54025.4414,149215.2009,95189.7595,np_greedy_87
55536.2729,55536.3307,148585.3887,93049.0580,np_greedy_87
59109.6041,59109.6533,153040.3514,93930.6981,np_greedy_87
62638.5906,62638.6417,165818.8973,103180.2555,np_greedy_87
65083.3168,65083.3684,172809.8223,107726.4539,np_greedy_87
65097.8433,65097.8648,169937.7096,104839.8448,np_greedy_87
70076.6024,70076.6529,179017.7958,108941.1428,np_greedy_87
70310.8731,70310.9245,82424.0177,12113.0932,p_greedy_330
70873.1466,70873.2125,181008.0268,110134.8143,np_greedy_87
72186.0303,72186.1119,89674.6680,17488.5561,p_greedy_330
78780.9467,78781.0137,181593.0137,102812.0000,np_greedy_87
79410.2433,79410.3107,181082.7531,101672.4424,np_greedy_87
79410.6732,79410.6872,106810.4796,27399.7923,p_greedy_330
80189.3664,80189.4091,108104.8518,27915.4427,p_greedy_330
82714.4806,82714.5210,182284.6967,99570.1757,np_greedy_87
83496.0469,83496.1203,110802.1356,27306.0153,p_greedy_330
87120.7298,87120.7976,112738.5691,25617.7715,p_greedy_330
87895.7131,87895.7565,191631.4567,103735.7002,np_greedy_87
93823.6019,93823.6457,114415.6372,20591.9915,p_greedy_330
108355.8003,108355.8657,192423.0427,84067.1769,np_greedy_87
109201.3377,109201.3980,194524.8357,85323.4377,np_greedy_87
110533.9894,110534.0508,195358.2179,84824.1671,np_greedy_87
116848.2434,116848.2963,123653.5588,6805.2625,p_greedy_330
124095.3850,124095.4285,199498.8972,75403.4687,np_greedy_87
124281.2215,124281.2602,200356.4548,76075.1946,np_greedy_87
131230.4285,131230.4769,138544.3862,7313.9093,p_greedy_330
137868.3890,137868.4545,145068.9436,7200.4892,p_greedy_330
145312.9536,145313.0012,247967.8998,102654.8986,np_greedy_87
151264.1102,151264.1431,159366.0771,8101.9340,p_greedy_330
152714.0450,152714.1273,260067.4471,107353.3198,np_greedy_87
155391.5113,155391.5660,262318.6885,106927.1226,np_greedy_87
157013.0110,157013.0696,165009.8376,7996.7680,p_greedy_330
168405.2798,168405.3231,175324.2963,6918.9732,p_greedy_330
171196.3752,171196.4215,268486.1711,97289.7496,np_greedy_87
181439.1263,181439.1608,191664.3492,10225.1884,p_greedy_330
183917.6455,183917.7057,290965.8812,107048.1755,np_greedy_87
184018.6793,184018.7359,194240.8704,10222.1345,p_greedy_330
187574.0333,187574.0950,290495.0781,102920.9831,np_greedy_87
199555.0402,199555.0842,205918.1499,6363.0656,p_greedy_330
201620.2264,201620.2791,325545.7990,123925.5199,np_greedy_87
203634.5511,203634.6016,328805.0856,125170.4840,np_greedy_87
207051.2884,207051.3386,213902.2381,6850.8994,p_greedy_330
211789.9508,211790.0149,344075.5139,132285.4990,np_greedy_87
212834.9251,212834.9899,223015.7421,10180.7522,p_greedy_330
217211.3544,217211.4210,236287.1625,19075.7415,p_greedy_330
218296.1214,218296.1919,348030.1549,129733.9630,np_greedy_87
219415.8129,219415.8728,240381.4562,20965.5834,p_greedy_330
225460.2652,225460.3299,247962.7009,22502.3711,p_greedy_330
226631.1201,226631.1804,248782.0600,22150.8796,p_greedy_330
232693.3925,232693.4611,356855.8788,124162.4177,np_greedy_87
235381.1738,235381.2382,250977.5591,15596.3209,p_greedy_330
235982.9305,235982.9915,354092.7943,118109.8028,np_greedy_87
240410.7315,240410.7654,357853.0774,117442.3120,np_greedy_87
253135.5950,253135.6449,367250.6728,114115.0279,np_greedy_87
255235.3576,255235.4108,261962.5888,6727.1780,p_greedy_330
259382.1183,259382.1809,371118.3400,111736.1590,np_greedy_87
268815.5207,268815.5735,275402.9330,6587.3595,p_greedy_330
269413.9164,269413.9569,390592.8065,121178.8496,np_greedy_87
276976.2602,276976.3101,284253.0864,7276.7763,p_greedy_330
278249.7607,278249.8104,394586.5226,116336.7122,np_greedy_87
