timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,RWLockReadersWaitMilliseconds,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5006.47,262144,64,57827,3810515858,0,0,18,18,297777,124,585,480062,4,12645,21,20,125280612,1172,1,20,8895,1246,2,97,585,8580929,10516,1167394197,585,92,2,1,2,1,2,2,347,1,1,1163043228,1117233860,21271185,86257198,86257198,2,1,3794595816,73389,73389,2,2,2,86240814,5,3,37928,947134,400768,10333,8875,1163043228,469729,8180503,1420
10011.88,262144,64,104872,6910621774,0,0,18,18,849729,132,585,827292,4,25910,21,20,126837126,1172,1,20,15807,2407,2,97,585,18710495,14783,2076786865,585,92,2,1,2,1,2,2,347,1,1,2069012892,2023448522,44596321,156717678,156717678,2,1,6895577832,73389,73389,2,2,2,156717678,5,3,53768,1671660,576544,18941,15787,2069012892,808351,18134592,1420
15017.68,262144,64,154102,10154478886,8636,2,18,18,924291,140,585,1204920,4,39780,21,20,127886868,1172,1,20,23041,4041,2,97,585,28496842,55425,3028396526,585,92,2,1,2,1,2,2,347,1,1,3017187740,2971731481,67869980,230426064,230442448,2,1,10138746816,73389,73389,2,2,2,230426064,5,3,68650,2468147,818927,28251,23021,3017187740,1176669,27679389,1420
20023.29,262144,64,201913,13305074962,8636,2,18,18,924291,148,585,1557244,4,53254,21,20,129214128,1172,1,20,30064,5535,2,97,585,40425715,123754,3952508365,585,92,2,1,2,1,2,2,347,1,1,3937706396,3892682443,111937863,302023073,302039457,2,1,13289015212,73389,73389,2,2,2,302023073,5,3,90388,3226777,1069390,37544,30044,3937706396,1519700,39358056,1420
25029.91,262144,64,249536,16442891762,8636,2,18,18,924291,156,585,1915453,4,66630,21,20,130275936,1172,1,20,37058,7004,2,97,585,51505472,164542,4872689653,585,92,2,1,2,1,2,2,347,1,1,4854423964,4809985751,137944272,373354064,373354064,2,1,16427578816,73389,73389,2,2,2,373354064,5,3,111191,3995412,1306456,46773,37038,4854423964,1868680,50200877,1420
30035.54,262144,64,298733,19684586186,8636,2,18,18,924291,164,585,2315612,4,80539,21,20,131603196,1172,1,20,44290,8536,2,97,585,62026838,212134,5824169497,585,92,2,1,2,1,2,2,347,1,1,5802336668,5757649013,187991955,447037874,447037874,2,1,19668945560,73389,73389,2,2,2,447021490,5,3,133037,4824307,1567669,56376,44270,5802336668,2259236,60460715,1420
35040.29,262144,64,353516,23294222870,8636,2,18,18,924291,174,585,2723300,4,95979,21,20,132930456,1172,1,20,52334,9809,2,97,585,73182561,216055,6882525879,585,92,2,1,2,1,2,2,347,1,1,6856679836,6812767091,213629420,529070603,529086987,2,1,23279106532,73389,73389,2,2,2,529070603,5,3,165022,5647932,1811914,66096,52314,6856679836,2657204,71372023,1420
