timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
60302.39,53,262144,64,83002,5469132508,62,45,127,4,603,11717534,20,19631,50,67,8,1107309,129566106,1208,1,66,12650,3019904,4,1256020,603,50506,129344992,34282803,102079500,1656718414,603,1958,2,1,4,4,842,1,1649106956,1602252877,577140473,123959263,123959263,2,1,5453486676,73389,73389,4,4,4,123942879,20,3,328878,71362964,2948919,309187,12584,1649106956,11408347,31335681,10722
65312.23,53,262144,64,106499,7017260912,62,45,131,5,603,12052646,20,26263,50,67,8,1107309,130097010,1208,1,66,16104,3028813,4,1256020,603,64326,152493728,45545017,103226011,2111280923,603,1958,2,1,4,4,842,1,2101829644,2054763996,614912164,159134318,159150702,2,1,7001909992,73389,73389,4,4,4,159134318,20,3,352733,72254921,3424775,317660,16038,2101829644,11734986,42123261,10722
70329.53,53,262144,64,129225,8514861060,62,45,134,5,603,12398155,20,32619,50,67,8,1107309,130627914,1208,1,66,19442,3038697,4,1256020,603,77678,158595232,56104030,104248117,2550571935,603,1958,2,1,4,4,842,1,2539347980,2492616723,651495689,193178877,193195261,2,1,8499870588,73389,73389,4,4,4,193178877,20,3,374089,73179966,3805918,326111,19376,2539347980,12072044,52299537,10722
75342.58,53,262144,64,153312,10101933222,62,45,139,5,603,12769620,20,39458,50,67,8,1107309,131158818,1208,1,66,22983,3046168,4,1256020,603,91842,165026528,67172068,104853927,3016582465,603,1958,2,1,4,4,842,1,3003473932,2956542549,679219799,229244701,229244701,2,1,10086045948,73389,73389,4,4,4,229228317,20,3,404947,74075660,4206036,334766,22917,3003473932,12434854,62968262,10722
80353.60,53,262144,64,178127,11736456756,62,45,143,5,603,13136906,20,46447,50,67,8,1107309,131955174,1208,1,66,26625,3051123,4,1256020,603,106414,188595168,77836388,105374842,3495301399,603,1958,2,1,4,4,842,1,3480245790,3434266798,713180475,266397902,266397902,2,1,11721507688,73389,73389,4,4,4,266397902,20,3,424501,74956737,4569943,344962,26559,3480245790,12791944,73268992,10722
85363.94,53,262144,64,202142,13318786194,62,45,147,6,603,13479167,20,53254,50,67,8,1107309,132486078,1208,1,66,30153,3056822,4,1256020,603,120526,194991840,87963758,105779777,3959612247,603,1958,2,1,4,4,842,1,3942667806,3896889372,737403748,302349038,302365422,2,1,13303357672,73389,73389,4,4,4,302349038,20,3,442148,75778733,4905182,353203,30087,3942667806,13125964,83060685,10722
90371.37,53,262144,64,228094,15028867286,62,45,152,6,603,13861712,20,60569,50,67,8,1107309,133282434,1208,1,66,33966,3061422,4,1256020,603,135778,201880992,99393137,106061649,4461426252,603,1958,2,1,4,4,842,1,4442445342,4396703216,770030087,341218241,341234625,2,1,15013602604,73389,73389,4,4,4,341218241,20,3,464412,76639379,5213961,362038,33900,4442445342,13499674,94179850,10722
95384.39,53,262144,64,252595,16643324738,62,45,156,6,603,14186893,20,67518,50,67,8,1107309,133813338,1208,1,66,37565,3064500,4,1256020,603,150174,208353248,109230569,106151828,4935103673,603,1958,2,1,4,4,842,1,4914173470,4868628097,792440114,377920882,377937266,2,1,16628518808,73389,73389,4,4,4,377920882,20,3,481269,77361966,5445478,371206,37499,4914173470,13815687,103785930,10722
100392.54,53,262144,64,277017,18252604846,62,45,160,6,603,14524138,20,74400,50,67,8,1107309,134609694,1208,1,66,41154,3067783,4,1256020,603,164530,214805280,119353350,106238235,5407407779,603,1958,2,1,4,4,842,1,5384590878,5339127304,816532782,414492451,414492451,2,1,18236946948,73389,73389,4,4,4,414476067,20,3,503143,78098885,5702995,380843,41088,5384590878,14143295,113652447,10722
105400.21,53,262144,64,302428,19926965510,62,45,164,6,603,14901087,20,81529,50,67,8,1107309,135140598,1208,1,66,44887,3071226,4,1256020,603,179462,221504992,130384590,106305628,5898674978,603,1958,2,1,4,4,842,1,5873882654,5828633620,861173971,452544613,452544613,2,1,19911242076,73389,73389,4,4,4,452528229,20,3,524991,78874549,5965654,389261,44821,5873882654,14511826,124422299,10722
110406.53,53,262144,64,329181,21689306234,62,45,169,6,603,15264883,20,89112,50,67,8,1107309,135936954,1208,1,66,48814,3074462,4,1256020,603,195178,262549232,141626831,106350976,6414916217,603,1958,2,1,4,4,842,1,6388000556,6343709074,890343596,492599497,492599497,2,1,21673656972,73389,73389,4,4,4,492583113,20,3,538722,79643988,6217181,398412,48748,6388000556,14866471,135411094,10722
115412.46,53,262144,64,356151,23466633878,62,45,173,6,603,15619342,20,96675,50,67,8,1107309,136733310,1208,1,66,52778,3075688,4,1256020,603,211034,269653680,150826157,106363858,6936597853,603,1958,2,1,4,4,842,1,6907569964,6863292753,913675124,532979902,532996286,2,1,23451115688,73389,73389,4,4,4,532979902,20,3,556458,80344538,6398084,407112,52712,6907569964,15212230,144430350,10722
120418.07,53,262144,64,386772,25484307332,62,45,179,6,603,15987947,20,105322,50,67,8,1107309,137529666,1208,1,66,57276,3076081,4,1256020,603,229034,312090440,161890540,106368965,7528596764,603,1958,2,1,4,4,842,1,7497131820,7453090695,939805054,578848503,578848503,2,1,25468613236,73389,73389,4,4,4,578832119,20,3,573227,81059948,6608685,416522,57210,7497131820,15571425,155284360,10722
