at_ms,latency_ms,qid
1882,314937.6190,np_default_60
5075,314520.5796,np_default_60
9844,103474.4670,p_default_1200
9902,105377.5218,p_default_1200
23379,302889.9006,np_default_60
27368,298976.4934,np_default_60
29964,153363.4350,p_default_1200
33173,154461.5866,p_default_1200
65034,186137.4468,p_default_1200
67569,186671.4609,p_default_1200
80835,183320.1211,p_default_1200
101652,173810.4305,p_default_1200
108380,223209.4799,np_default_60
109742,221582.8884,np_default_60
136632,196216.7602,np_default_60
150764,182419.6466,np_default_60
184185,126910.8245,p_default_1200
187593,124382.1460,p_default_1200
192960,119863.1333,p_default_1200
217654,118252.8205,np_default_60
223742,114587.2833,np_default_60
238138,100345.0552,np_default_60
