at_ms,latency_ms,qid
2824,30890.3852,np_greedy_60
7613,56481.8195,np_greedy_60
9132,164462.8979,p_greedy_1200
30726,159946.7046,p_greedy_1200
35069,60677.4802,np_greedy_60
41051,55402.3688,np_greedy_60
52049,138511.6169,p_greedy_1200
66815,126833.1328,p_greedy_1200
66903,126147.9895,p_greedy_1200
96996,292588.2362,p_greedy_1200
101809,287425.8940,p_greedy_1200
149601,239569.3453,p_greedy_1200
153404,236137.8328,p_greedy_1200
162570,53085.8988,np_greedy_60
164613,50475.7887,np_greedy_60
173301,220319.6636,p_greedy_1200
204528,188677.0642,p_greedy_1200
204949,41258.7403,np_greedy_60
226146,50571.3400,np_greedy_60
