at_ms,latency_ms,qid
2824,250411.0928,np_default_60
7613,283464.8646,np_default_60
9132,21213.7485,p_default_1200
30726,27910.1714,p_default_1200
35069,264014.9354,np_default_60
41051,258581.1508,np_default_60
52049,52253.0049,p_default_1200
66815,94111.5047,p_default_1200
66903,94034.4999,p_default_1200
96996,124199.3486,p_default_1200
101809,125788.8700,p_default_1200
149601,126782.7356,p_default_1200
153404,124763.9036,p_default_1200
162570,150526.0012,np_default_60
164613,148170.9764,np_default_60
173301,112188.2146,p_default_1200
204528,85981.0760,p_default_1200
204949,109888.4194,np_default_60
226146,90423.3223,np_default_60
