at_ms,latency_ms,qid
1882,31657.5078,np_greedy_60
5075,60270.4476,np_greedy_60
9844,147577.9254,p_greedy_1200
9902,152087.6734,p_greedy_1200
23379,41697.6327,np_greedy_60
27368,38410.3639,np_greedy_60
29964,133295.7759,p_greedy_1200
33173,129376.4080,p_greedy_1200
65034,102224.6743,p_greedy_1200
67569,243705.7514,p_greedy_1200
80835,232142.7390,p_greedy_1200
101652,209436.7496,p_greedy_1200
108380,85985.1873,np_greedy_60
109742,85134.2233,np_greedy_60
136632,57942.2285,np_greedy_60
150764,43068.6819,np_greedy_60
184185,128815.3615,p_greedy_1200
187593,130922.9804,p_greedy_1200
192960,126239.0277,p_greedy_1200
217654,127759.8340,np_greedy_60
223742,121984.3606,np_greedy_60
238138,106107.9387,np_greedy_60
