timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5009.04,262144,64,57817,3809860498,0,10329,7,18,18,60550,124,585,509007,4,12642,21,49,125280612,1172,1,20,8894,646,2,109,585,7913118,593,1167261694,585,179,2,1,2,2,279,1,1162912156,1117070675,18500141,86240814,86240814,2,1,3793874920,73389,73389,2,2,2,86224430,4,3,83197,941671,449122,9592,8874,1162912156,499415,7464176,1353
10013.70,262144,64,115151,7587982646,2,2010446,9,18,18,60550,134,585,969408,4,28775,21,49,127102578,1172,1,20,17318,1373,2,109,585,18846975,1325,2275576231,585,179,2,1,2,2,279,1,2267062684,2221432630,59407261,172112988,172112988,2,1,7572971472,73389,73389,2,2,2,172112988,4,3,126866,1823220,691452,19362,17298,2267062684,950046,18155559,1353
15018.38,262144,64,172767,11384344626,4,4804894,31,18,18,60550,143,585,1440767,4,45036,21,49,128417772,1172,1,20,25783,2241,2,109,585,28463418,2027,3389303686,585,179,2,1,2,2,279,1,3376587164,3331189910,107629144,258388729,258405113,2,1,11369104076,73389,73389,2,2,2,258388729,4,3,161010,2726179,908924,29111,25763,3376587164,1411656,27554565,1353
20024.38,262144,64,219769,14481391174,17,21783113,112,27,27,60550,151,585,1805525,4,58293,21,49,129479580,1172,1,20,32695,2680,2,109,585,37229700,2411,4297554029,585,179,2,1,2,2,279,1,4281377180,4236566498,255341440,328769448,328785832,2,1,14465855712,73389,73389,2,2,2,328769448,4,3,181429,3441031,1032165,36944,32666,4281377180,1768581,36197887,1353
25028.96,262144,64,269446,17754880726,21,31249747,147,27,27,60550,159,585,2216070,4,72277,21,49,130806840,1172,1,20,39994,3282,2,109,585,46920746,2863,5257746852,585,179,2,1,2,2,279,1,5238071708,5193433348,294772976,403163803,403180187,2,1,17739207332,73389,73389,2,2,2,403163803,4,3,208784,4223106,1222859,45310,39965,5238071708,2170760,45698397,1353
30033.04,262144,64,316773,20873226474,21,32456944,156,35,35,60550,167,585,2595739,4,85622,21,49,131868648,1172,1,20,46956,3961,2,109,585,56691073,3466,6172809425,585,179,2,1,2,2,279,1,6149546396,6105121622,324555147,474052426,474052426,2,1,20857585848,73389,73389,2,2,2,474036042,4,3,225682,4951981,1388009,53338,46919,6149546396,2542401,55303378,1353
35036.79,262144,64,368988,24314035806,21,32456944,156,35,35,60550,176,585,3008763,4,100359,21,49,133461360,1172,1,20,54624,4288,2,109,585,66256060,4068,7181660401,585,179,2,1,2,2,279,1,7154606492,7110932456,343979445,552247425,552247425,2,1,24298165804,73389,73389,2,2,2,552231041,4,3,239251,5730993,1547517,61458,54587,7154606492,2947305,64708825,1353
