timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5010.84,2,262144,64,52494,3459142140,14,14,666425,123,585,493238,1,11088,17,125280612,1172,1,16,8109,2071,2,73,585,7785086,4263,1064355612,585,222,2,1,2,2,344,1,1060413852,1014533640,14568982,78260535,78276919,2,1,3443463540,73389,73389,2,2,2,78260535,4,3,46272,991185,515763,10165,8093,1060413852,483073,7269476,1934
10016.04,2,262144,64,99798,6576233946,14,14,1042959,131,585,928569,1,24474,17,126571674,1172,1,16,15059,4446,2,73,585,18337912,9824,1978864920,585,222,2,1,2,2,344,1,1971495324,1925732150,44827871,149114231,149114231,2,1,6560305268,73389,73389,2,2,2,149097847,4,3,77448,1881738,777238,19647,15043,1971495324,908922,17561607,1934
15022.75,2,262144,64,145223,9569664770,14,14,1155598,139,585,1404461,1,37305,17,127886868,1172,1,16,21732,7921,2,73,585,29222497,32154,2856654509,585,222,2,1,2,2,344,1,2846007708,2800744259,69201545,217146005,217162389,2,1,9554424220,73389,73389,2,2,2,217146005,4,3,102237,2826363,1041457,28868,21716,2846007708,1375593,28182853,1934
20030.59,2,262144,64,187955,12385279886,14,14,1155598,146,585,1934255,1,49339,17,128948676,1172,1,16,28010,11670,2,73,585,40493134,71643,3682749010,585,222,2,1,2,2,344,1,3669008796,3623759603,95163092,281125342,281141726,2,1,12369515048,73389,73389,2,2,2,281125342,4,3,122825,3838879,1333639,38277,27994,3669008796,1895978,39161892,1934
25037.12,2,262144,64,228512,15057557846,14,14,1155598,153,585,2412781,1,60786,17,130010484,1172,1,16,33966,16191,2,73,585,50557141,118898,4466224049,585,222,2,1,2,2,344,1,4449673628,4404978770,119511225,341858932,341875316,2,1,15041793008,73389,73389,2,2,2,341858932,4,3,141566,4795499,1597006,47830,33950,4449673628,2364951,48963902,1934
30043.38,2,262144,64,272583,17961528966,14,14,1155598,160,585,2894274,1,73181,17,130806840,1172,1,16,40443,19726,2,73,585,61775369,157285,5318494442,585,222,2,1,2,2,344,1,5298626972,5253846071,170520065,407881951,407881951,2,1,17946084948,73389,73389,2,2,2,407865567,4,3,168685,5777483,1914210,57542,40427,5298626972,2836732,59866292,1934
35049.12,2,262144,64,321183,21163832946,14,14,1155598,168,585,3364054,1,86857,17,132134100,1172,1,16,47582,22676,2,73,585,72133532,171356,6257720610,585,222,2,1,2,2,344,1,6234349980,6190045381,201542112,480658608,480658608,2,1,21148257856,73389,73389,2,2,2,480642224,4,3,197041,6735206,2195537,67462,47566,6234349980,3296592,69943302,1934
40054.25,2,262144,64,374161,24654658312,14,14,1155598,177,585,3753243,1,101826,17,133461360,1172,1,16,55362,23788,2,73,585,83071269,175555,7281324865,585,222,2,1,2,2,344,1,7254090140,7210494331,226808814,559992295,559992295,2,1,24638940084,73389,73389,2,2,2,559975911,4,3,228738,7543389,2467799,76968,55346,7254090140,3676275,80608902,1934
