timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MemoryAllocatedWithoutCheck,MemoryAllocatedWithoutCheckBytes,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
58641.22,32,262144,64,69619,4587286084,119,0,603,6377281,20,15820,55,68,3,432604,129035202,1208,1,67,10687,3395099,3,586814,603,42654,126074160,28555788,107468818,1398289635,603,1771,2,1,4,4,624,1,1391681548,1344527610,584289412,103903149,103919533,2,1,4571738556,73389,73389,4,4,4,103903149,20,3,267747,61705545,2917495,52005,10620,1391681548,6325276,25639299,9873
63712.26,32,262144,64,75807,4994946468,121,0,603,6464577,20,17649,55,68,3,432604,129300654,1208,1,67,11599,3498084,3,586814,603,46298,127800176,32084600,116338607,1518251204,603,1771,2,1,4,4,624,1,1511088140,1463701645,669644376,113167413,113183797,2,1,4979366172,73389,73389,4,4,4,113167413,20,3,276346,64501165,3063721,55265,11531,1511088140,6409312,29021309,9873
68723.03,32,262144,64,97013,6392400992,124,0,603,6770052,20,23599,55,68,3,432604,129831558,1208,1,67,14714,3507560,3,586814,603,58762,150866504,42166379,119465593,1928237708,603,1771,2,1,4,4,624,1,1919377420,1872166470,711656934,144938914,144938914,2,1,6377312216,73389,73389,4,4,4,144938914,20,3,305848,65664234,3463880,64179,14646,1919377420,6705873,38703933,9873
73736.25,32,262144,64,120458,7937121524,128,0,603,7113671,20,30172,55,68,3,432604,130362462,1208,1,67,18156,3519818,3,586814,603,72530,157160520,53465185,120583567,2381231358,603,1771,2,1,4,4,624,1,2370527244,2323708676,743042748,180048433,180048433,2,1,7921410156,73389,73389,4,4,4,180032049,20,3,329826,66569989,3839752,72698,18088,2370527244,7040973,49626283,9873
78745.53,32,262144,64,144009,9489054324,132,0,603,7472174,20,36838,55,68,3,432604,131158818,1208,1,67,21618,3527244,3,586814,603,86378,163480392,63518578,121277261,2836868254,603,1771,2,1,4,4,624,1,2824298508,2777393351,766276549,215319633,215319633,2,1,9473342956,73389,73389,4,4,4,215303249,20,3,343210,67472146,4161422,81001,21550,2824298508,7391173,59357793,9873
83754.26,32,262144,64,168866,11126854658,136,0,603,7842908,20,43829,55,68,3,432604,131689722,1208,1,67,25268,3533123,3,586814,603,100982,187255632,74296548,121715431,3317240632,603,1771,2,1,4,4,624,1,3302711308,3256111021,809077709,252530178,252546562,2,1,11111327832,73389,73389,4,4,4,252530178,20,3,376471,68324034,4549445,89884,25200,3302711308,7753024,69748086,9873
88762.67,32,262144,64,193501,12749569646,141,0,603,8208071,20,50806,55,68,3,432604,132486078,1208,1,67,28886,3538245,3,586814,603,115470,261519296,85449536,122180727,3792845330,603,1771,2,1,4,4,624,1,3776337438,3730432453,842996616,289413043,289429427,2,1,12734173892,73389,73389,4,4,4,289413043,20,3,399602,69185874,4910727,98387,28818,3776337438,8109684,80539472,9873
93770.35,32,262144,64,218926,14424847814,145,0,603,8579277,20,57994,55,68,3,432604,133016982,1208,1,67,32623,3542003,3,586814,603,130418,285459192,95873826,122600495,4284538038,603,1771,2,1,4,4,624,1,4266022430,4220166465,866677497,327497973,327497973,2,1,14409910812,73389,73389,4,4,4,327497973,20,3,421940,70050160,5236551,108400,32555,4266022430,8470877,90637903,9873
98777.46,32,262144,64,245070,16147511818,149,0,603,8955178,20,65308,55,68,3,432604,133547886,1208,1,67,36462,3545437,3,586814,603,145786,326691216,106691297,122875192,4789960369,603,1771,2,1,4,4,624,1,4769338910,4723704428,918281183,366645704,366662088,2,1,16132410976,73389,73389,4,4,4,366645704,20,3,443234,70886636,5532174,117503,36394,4769338910,8837675,101157721,9873
103785.65,32,262144,64,270261,17807454562,154,0,603,9290895,20,72454,55,68,3,432604,134344242,1208,1,67,40164,3548730,3,586814,603,160594,350289944,117165222,123007600,5277056603,603,1771,2,1,4,4,624,1,5254436382,5208939282,943877062,404378378,404378378,2,1,17792648632,73389,73389,4,4,4,404378378,20,3,452593,71637324,5809064,126056,40096,5254436382,9164839,111356222,9873
108793.26,32,262144,64,296101,19509930170,158,0,603,9658510,20,79718,55,68,3,432604,134875146,1208,1,67,43961,3552213,3,586814,603,175794,390977736,127540092,123106154,5776910437,603,1771,2,1,4,4,624,1,5752247838,5706746054,978106124,443053132,443069516,2,1,19494337808,73389,73389,4,4,4,443053132,20,3,462949,72427154,6064412,134854,43893,5752247838,9523656,121475278,9873
113799.88,32,262144,64,324532,21383302110,163,2,603,10044011,20,87743,55,68,3,432604,135936954,1208,1,67,48134,3555790,3,586814,603,192490,415740856,137742761,123144815,6325545790,603,1771,2,1,4,4,624,1,6298609452,6254246587,1002681647,485647092,485647092,2,1,21368472048,73389,73389,4,4,4,485647092,20,3,481517,73232000,6325006,143907,48066,6298609452,9900104,131417773,9873
118805.89,32,262144,64,354606,23364849854,168,2,603,10432429,20,96218,55,68,3,432604,136733310,1208,1,67,52552,3558341,3,586814,603,210170,458093208,147362391,123159297,6907025235,603,1771,2,1,4,4,624,1,6877685548,6833593019,1026318073,530674076,530674076,2,1,23349659344,73389,73389,4,4,4,530674076,20,3,493154,74027105,6512621,151782,52484,6877685548,10280647,140849490,9873
123811.39,32,262144,64,386795,25485814660,174,2,603,10836533,20,105326,55,68,3,432604,137529666,1208,1,67,57280,3559157,3,586814,603,229090,500614768,156887687,123171535,7529294809,603,1771,2,1,4,4,624,1,7497393964,7453542937,1046610663,578881271,578881271,2,1,25470775924,73389,73389,4,4,4,578881271,20,3,499873,74798859,6663737,158290,57212,7497393964,10678243,150223621,9873
