at_ms,latency_ms,qid
2756,96232.3637,np_default_60
4458,12797.8562,p_default_1200
7432,118708.6973,np_default_60
14997,14518.4620,p_default_1200
25405,30220.5687,p_default_1200
32612,46258.4816,p_default_1200
32655,46505.6488,p_default_1200
34234,104744.2706,np_default_60
40074,99491.2194,np_default_60
47343,53324.3124,p_default_1200
49693,53705.8672,p_default_1200
73019,52318.4210,p_default_1200
74876,51400.7209,p_default_1200
84588,45985.2914,p_default_1200
99829,33496.7906,p_default_1200
158700,46356.6656,np_default_60
160255,28875.1270,p_default_1200
160693,46863.7235,np_default_60
162750,30343.2870,p_default_1200
166679,28189.6563,p_default_1200
200069,35710.1407,np_default_60
206680,22219.7823,p_default_1200
207230,22507.4092,p_default_1200
220762,24765.6579,np_default_60
