at_ms,latency_ms,qid
1479,29444.7349,np_default_60
3984,11673.5658,p_default_1200
3988,33653.6395,np_default_60
18369,25142.6535,np_default_60
21503,24528.9458,np_default_60
24829,11408.2304,p_default_1200
57543,10746.9835,p_default_1200
85156,17056.4668,np_default_60
86226,16821.0568,np_default_60
107354,16796.9652,np_default_60
118458,16578.8570,np_default_60
171014,20003.0624,np_default_60
175797,44014.7531,np_default_60
187108,48436.4841,np_default_60
187238,22173.2695,p_default_1200
192592,27116.8369,p_default_1200
198278,39782.6591,np_default_60
201027,23243.2253,p_default_1200
206012,33534.9340,np_default_60
206058,33493.0914,np_default_60
221821,20326.7439,np_default_60
224342,17619.6800,np_default_60
