at_ms,latency_ms,qid
493,36883.1894,np_default_60
1329,36639.3821,np_default_60
6123,37003.1147,np_default_60
6943,14697.0862,p_default_1200
7168,39309.3806,np_default_60
16255,15416.6428,p_default_1200
28385,35781.9959,np_default_60
28742,36128.0435,np_default_60
35785,38664.7181,np_default_60
39486,41721.8102,np_default_60
43141,11568.8554,p_default_1200
56323,15110.1560,p_default_1200
57005,52636.3109,np_default_60
58599,51161.8792,np_default_60
62369,48269.7465,np_default_60
66093,45370.2878,np_default_60
68671,43210.7128,np_default_60
68686,43577.7181,np_default_60
73940,40377.4878,np_default_60
74781,40440.3061,np_default_60
77491,13977.9687,p_default_1200
83125,46038.4764,np_default_60
83789,45374.1980,np_default_60
87263,42089.6424,np_default_60
92716,38227.2121,np_default_60
96138,12773.4869,p_default_1200
114331,28267.0223,np_default_60
115224,27839.5236,np_default_60
116279,12502.1048,p_default_1200
116630,27796.9223,np_default_60
130939,18058.9489,np_default_60
131135,18379.4418,np_default_60
153326,33659.4878,np_default_60
156762,12275.0202,p_default_1200
161136,42532.6103,np_default_60
163962,44048.8561,np_default_60
168968,11366.0231,p_default_1200
180638,59180.0599,np_default_60
189209,19176.4639,p_default_1200
194062,65569.2471,np_default_60
197812,29415.6822,p_default_1200
197919,62757.3903,np_default_60
198405,29338.6696,p_default_1200
212741,49818.9462,np_default_60
214865,48469.4917,np_default_60
223471,40332.2490,np_default_60
224129,25088.4203,p_default_1200
227800,22833.8895,p_default_1200
230335,34993.3068,np_default_60
