at_ms,latency_ms,qid
740,26364.4927,np_default_60
1994,26378.8425,np_default_60
8479,12576.8144,p_default_1200
9185,26276.0520,np_default_60
10752,24915.9040,np_default_60
42578,22130.1544,np_default_60
43113,22363.5877,np_default_60
53677,25188.0083,np_default_60
58506,11948.4663,p_default_1200
59229,25511.0300,np_default_60
85507,34561.3895,np_default_60
87899,39259.6141,np_default_60
93554,39416.9345,np_default_60
98778,16363.0211,p_default_1200
99139,40942.2590,np_default_60
103006,38183.7971,np_default_60
103029,38213.7822,np_default_60
110349,15305.3266,p_default_1200
110910,31502.2768,np_default_60
112171,30545.0841,np_default_60
124688,21004.2706,np_default_60
125684,19621.1294,np_default_60
130895,18265.2041,np_default_60
139074,19193.1609,np_default_60
154815,15600.7217,p_default_1200
161189,17249.9149,p_default_1200
171497,31841.5304,np_default_60
172836,30882.2993,np_default_60
174944,29078.9295,np_default_60
187006,12546.0577,p_default_1200
196408,26925.9436,np_default_60
196703,27073.5846,np_default_60
207598,11167.4122,p_default_1200
229989,16574.3302,np_default_60
