at_ms,latency_ms,qid
1479,16527.2134,np_greedy_60
3984,29524.7432,p_greedy_1200
3988,34769.2819,np_greedy_60
18369,37183.8358,np_greedy_60
21503,34080.0147,np_greedy_60
24829,26978.8561,p_greedy_1200
57543,10826.1237,p_greedy_1200
85156,16554.4667,np_greedy_60
86226,32018.6220,np_greedy_60
107354,27468.9154,np_greedy_60
118458,32948.6227,np_greedy_60
171014,16679.4831,np_greedy_60
175797,34208.5419,np_greedy_60
187108,21744.0249,np_greedy_60
187238,16731.3702,p_greedy_1200
192592,42714.8865,p_greedy_1200
198278,30698.1787,np_greedy_60
201027,34657.2927,p_greedy_1200
206012,30995.5334,np_greedy_60
206058,30879.2596,np_greedy_60
221821,30900.2381,np_greedy_60
224342,28009.4121,np_greedy_60
