at_ms,latency_ms,qid
2756,16537.6185,np_greedy_60
4458,46301.1151,p_greedy_1200
7432,34226.6013,np_greedy_60
14997,35629.0835,p_greedy_1200
25405,72584.7329,p_greedy_1200
32612,66626.8420,p_greedy_1200
32655,68841.6194,p_greedy_1200
34234,32071.9607,np_greedy_60
40074,26729.0423,np_greedy_60
47343,67592.0045,p_greedy_1200
49693,66043.6085,p_greedy_1200
73019,73922.7853,p_greedy_1200
74876,73361.4440,p_greedy_1200
84588,63557.0272,p_greedy_1200
99829,52288.0377,p_greedy_1200
158700,16682.3042,np_greedy_60
160255,53033.0750,p_greedy_1200
160693,36648.8098,np_greedy_60
162750,51273.1940,p_greedy_1200
166679,48369.7496,p_greedy_1200
200069,32493.3234,np_greedy_60
206680,39810.3554,p_greedy_1200
207230,39569.5276,p_greedy_1200
220762,33732.1087,np_greedy_60
