at_ms,latency_ms,qid
740,16532.0484,np_greedy_60
1994,38580.5743,np_greedy_60
8479,27114.9666,p_greedy_1200
9185,31787.7381,np_greedy_60
10752,30086.6306,np_greedy_60
42578,16840.8686,np_greedy_60
43113,39989.2548,np_greedy_60
53677,29262.5597,np_greedy_60
58506,19239.9959,p_greedy_1200
59229,23569.5875,np_greedy_60
85507,16799.6052,np_greedy_60
87899,39163.7699,np_greedy_60
93554,33696.3103,np_greedy_60
98778,21862.7467,p_greedy_1200
99139,28450.2242,np_greedy_60
103006,46844.1191,np_greedy_60
103029,47416.1266,np_greedy_60
110349,31280.5945,p_greedy_1200
110910,39710.1802,np_greedy_60
112171,38481.7636,np_greedy_60
124688,30532.5548,np_greedy_60
125684,29007.0302,np_greedy_60
130895,32331.0575,np_greedy_60
139074,23770.9072,np_greedy_60
154815,21767.6370,p_greedy_1200
161189,23636.3143,p_greedy_1200
171497,26029.0260,np_greedy_60
172836,24970.9070,np_greedy_60
174944,23050.7826,np_greedy_60
187006,25066.4274,p_greedy_1200
196408,24385.1386,np_greedy_60
196703,24218.2604,np_greedy_60
207598,20951.0567,p_greedy_1200
229989,16169.4504,np_greedy_60
