at_ms,latency_ms,qid
493,16383.1072,np_greedy_60
1329,41090.9413,np_greedy_60
6123,36460.8581,np_greedy_60
6943,43874.5398,p_greedy_1200
7168,36311.1122,np_greedy_60
16255,34847.7296,p_greedy_1200
28385,42178.2799,np_greedy_60
28742,43296.6577,np_greedy_60
35785,34895.2436,np_greedy_60
39486,31891.7636,np_greedy_60
43141,33774.0374,p_greedy_1200
56323,42257.2374,p_greedy_1200
57005,44580.1887,np_greedy_60
58599,43605.1839,np_greedy_60
62369,39912.4851,np_greedy_60
66093,36313.9881,np_greedy_60
68671,33309.3163,np_greedy_60
68686,33442.6649,np_greedy_60
73940,37936.0007,np_greedy_60
74781,37621.4546,np_greedy_60
77491,55021.3042,p_greedy_1200
83125,49263.2038,np_greedy_60
83789,49168.3775,np_greedy_60
87263,45506.1615,np_greedy_60
92716,40167.3103,np_greedy_60
96138,36331.3898,p_greedy_1200
114331,44143.2169,np_greedy_60
115224,42960.4186,np_greedy_60
116279,35868.3585,p_greedy_1200
116630,42020.5128,np_greedy_60
130939,27284.5247,np_greedy_60
131135,27387.8286,np_greedy_60
153326,29110.6732,np_greedy_60
156762,15406.2997,p_greedy_1200
161136,34190.4758,np_greedy_60
163962,31183.7092,np_greedy_60
168968,24802.6604,p_greedy_1200
180638,29463.4968,np_greedy_60
189209,21161.2190,p_greedy_1200
194062,26600.2906,np_greedy_60
197812,47303.9343,p_greedy_1200
197919,36828.3606,np_greedy_60
198405,46554.0251,p_greedy_1200
212741,39498.2586,np_greedy_60
214865,37449.3107,np_greedy_60
223471,43784.6707,np_greedy_60
224129,50291.5846,p_greedy_1200
227800,47155.7307,p_greedy_1200
230335,37389.5190,np_greedy_60
