event,start_value,end_value,diff,description
AsyncLoaderWaitMicroseconds,3838379,0,-3838379,Total time a query was waiting for async loader jobs.
AsyncLoggingConsoleTotalMessages,54,0,-54,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingErrorFileLogTotalMessages,3,0,-3,How many messages (accepted or dropped) have been sent to the async queue for the error file log
AsyncLoggingFileLogTotalMessages,54,0,-54,How many messages (accepted or dropped) have been sent to the async queue for the file log
CommonBackgroundExecutorTaskExecuteStepMicroseconds,941,0,-941,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,2,0,-2,Time spent resetting task for Common executor.
CompressedReadBufferBlocks,78,0,-78,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,3618724,0,-3618724,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
ContextLock,1208,0,-1208,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,35,0,-35,Context lock wait time in microseconds
CreatedReadBufferOrdinary,167,0,-167,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,487082,0,-487082,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,8,0,-8,Total time spent waiting for write syscall. This include writes to page cache.
FileOpen,225,0,-225,Number of files opened.
GlobalThreadPoolExpansions,661,0,-661,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolJobWaitTimeMicroseconds,10886202,0,-10886202,"Measures the elapsed time from when a job is scheduled in the thread pool to when it is picked up for execution by a worker thread. This metric helps identify delays in job processing, indicating the responsiveness of the thread pool to new tasks."
GlobalThreadPoolJobs,708,0,-708,Counts the number of jobs that have been pushed to the global thread pool.
GlobalThreadPoolLockWaitMicroseconds,136,0,-136,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolThreadCreationMicroseconds,83534,0,-83534,Total time spent waiting for new threads to start.
HTTPServerConnectionsCreated,1,0,-1,Number of created server HTTP connections
IOBufferAllocBytes,21112068,0,-21112068,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
