at_ms,latency_ms,qid
1008,212071.7423,np_default_300
2719,215377.6258,np_default_300
12525,210320.2227,np_default_300
14661,215375.7592,np_default_300
58061,240047.2649,np_default_300
58790,242276.6539,np_default_300
63895,51880.9577,p_default_1200
73196,236353.0269,np_default_300
80766,229996.4759,np_default_300
87019,56300.1861,p_default_1200
116600,199661.8944,np_default_300
119862,196795.9371,np_default_300
127574,190568.2750,np_default_300
135189,185977.0150,np_default_300
140463,182554.0112,np_default_300
140494,179825.6781,np_default_300
151241,181034.7008,np_default_300
152961,181266.6197,np_default_300
170029,182285.6044,np_default_300
171387,184028.2814,np_default_300
178494,181794.2839,np_default_300
189646,184622.0146,np_default_300
223456,41441.5707,p_default_1200
233860,180464.0527,np_default_300
235685,183250.9718,np_default_300
238561,179018.3780,np_default_300
267829,158790.8508,np_default_300
268232,161128.2818,np_default_300
