at_ms,latency_ms,qid
503,29899.7047,p_default_1200
1261,675444.2014,np_default_300
3399,673142.5148,np_default_300
15656,667217.9061,np_default_300
18326,662197.9842,np_default_300
57241,59915.5780,p_default_1200
72576,648282.7651,np_default_300
73488,648199.8821,np_default_300
77208,156913.0610,p_default_1200
84434,169235.6302,p_default_1200
91495,627367.6802,np_default_300
100958,623580.7235,np_default_300
127071,303536.9713,p_default_1200
145750,583957.1814,np_default_300
149827,578850.8925,np_default_300
159467,569588.6110,np_default_300
161394,365137.3676,p_default_1200
168987,561090.4554,np_default_300
171256,365390.6869,p_default_1200
175578,559540.1045,np_default_300
175618,553652.1038,np_default_300
189052,541836.2142,np_default_300
191201,539967.3372,np_default_300
209153,368156.9871,p_default_1200
212536,520171.3362,np_default_300
214234,519433.9133,np_default_300
214585,363750.4077,p_default_1200
223117,510546.9645,np_default_300
236588,351331.8851,p_default_1200
237057,500321.5334,np_default_300
254138,337564.3249,p_default_1200
292325,445851.3247,np_default_300
292980,302677.1120,p_default_1200
294607,445013.8796,np_default_300
298201,438065.1745,np_default_300
