at_ms,latency_ms,qid
2521,766124.2910,np_default_300
6797,771723.0580,np_default_300
31311,768916.9841,np_default_300
36653,770714.0384,np_default_300
38077,390383.4324,p_default_2400
64445,564455.4984,p_default_2400
64602,566529.3394,p_default_2400
118338,599567.7989,p_default_2400
126934,592597.7378,p_default_2400
145152,687445.8100,np_default_300
146975,690478.3295,np_default_300
182990,660396.3756,np_default_300
201916,643564.6522,np_default_300
212276,546853.2097,p_default_2400
219067,541753.5129,p_default_2400
254599,508704.5391,p_default_2400
291500,559000.1349,np_default_300
299654,556762.4176,np_default_300
