at_ms,latency_ms,qid
630,1459057.0356,np_default_300
1699,1454854.1603,np_default_300
4438,235657.1141,p_default_1200
7828,1456012.6763,np_default_300
9163,1454123.9210,np_default_300
10390,441015.8224,p_default_1200
27576,700072.5892,p_default_1200
36002,757585.9467,p_default_1200
36288,1431124.2013,np_default_300
36744,1432926.9819,np_default_300
45747,1424275.3951,np_default_300
49533,806691.7553,p_default_1200
50479,1422375.5446,np_default_300
61452,833623.6858,p_default_1200
72875,1402748.3104,np_default_300
74326,852067.4352,p_default_1200
74914,1397420.9732,np_default_300
79734,1392685.5729,np_default_300
84493,1388565.4715,np_default_300
87789,1386519.3436,np_default_300
87809,1385829.4202,np_default_300
94526,1379204.2346,np_default_300
95600,1379524.7222,np_default_300
100203,874832.2261,p_default_1200
106268,1368647.2052,np_default_300
107117,1368557.7836,np_default_300
108005,884508.1142,p_default_1200
111558,1363637.0302,np_default_300
118529,1356992.9585,np_default_300
120943,881172.5541,p_default_1200
126442,886324.5691,p_default_1200
126821,890666.1056,p_default_1200
143264,893802.5160,p_default_1200
145611,890604.8291,p_default_1200
146162,1327992.6439,np_default_300
147303,1328188.4161,np_default_300
149100,1329494.3824,np_default_300
165718,898282.2369,p_default_1200
167393,1308128.6313,np_default_300
167645,1308099.8173,np_default_300
194421,880656.1027,p_default_1200
196014,1281139.6917,np_default_300
205997,1271590.4157,np_default_300
206997,869126.4629,p_default_1200
209183,876720.7722,p_default_1200
209610,1266354.6112,np_default_300
213997,868528.5085,p_default_1200
219813,874604.2067,p_default_1200
220705,862251.3769,p_default_1200
227856,864012.4247,p_default_1200
230929,1237553.4373,np_default_300
237833,711483.0824,p_default_1200
242633,522864.6775,p_default_1200
245089,481160.3044,p_default_1200
246170,434920.4484,p_default_1200
248090,594393.5882,np_default_300
253021,566536.9588,np_default_300
257769,347185.5045,p_default_1200
257920,335601.0858,p_default_1200
263003,327359.5320,p_default_1200
266052,318703.1597,p_default_1200
271970,477900.1056,np_default_300
274686,455995.3409,np_default_300
274950,296465.4898,p_default_1200
285687,430466.7891,np_default_300
290022,260699.3742,p_default_1200
294462,420918.1647,np_default_300
