at_ms,latency_ms,qid
504,499127.9733,np_default_300
1359,500348.2014,np_default_300
6262,504170.3553,np_default_300
7331,501641.4261,np_default_300
29030,524222.4557,np_default_300
29395,525206.3203,np_default_300
36598,532193.6561,np_default_300
40383,539277.5939,np_default_300
41197,24978.2467,p_default_1200
58300,535017.3232,np_default_300
59931,533961.0590,np_default_300
63787,532356.3508,np_default_300
67595,533702.1640,np_default_300
70231,532297.3280,np_default_300
70247,534796.4616,np_default_300
75621,535899.9430,np_default_300
76480,534937.0457,np_default_300
85014,536808.1951,np_default_300
85694,537585.0706,np_default_300
89247,537782.1647,np_default_300
94823,538666.1346,np_default_300
116930,544055.2412,np_default_300
117843,542990.1707,np_default_300
119280,544941.8084,np_default_300
124003,57885.0031,p_default_1200
133915,537780.1024,np_default_300
134116,537556.4020,np_default_300
148971,152034.7736,p_default_1200
156811,517968.3258,np_default_300
164798,514348.6680,np_default_300
167688,509057.7899,np_default_300
184743,494557.4323,np_default_300
190372,249296.6634,p_default_1200
198472,481721.9625,np_default_300
202417,480711.3257,np_default_300
207969,261832.7388,p_default_1200
209182,263531.6649,p_default_1200
217576,464916.6491,np_default_300
219749,466400.1080,np_default_300
228550,458123.4248,np_default_300
235570,448122.5253,np_default_300
251107,436709.8687,np_default_300
254657,434219.9718,np_default_300
259419,428943.7660,np_default_300
261799,235783.9254,p_default_1200
269308,227835.0367,p_default_1200
273168,416627.1065,np_default_300
279908,409182.6380,np_default_300
290733,397552.0285,np_default_300
