at_ms,latency_ms,qid
756,761183.1310,np_default_300
2039,760445.8973,np_default_300
9393,762396.6531,np_default_300
10996,763039.0166,np_default_300
43546,770586.5484,np_default_300
44093,769836.3236,np_default_300
45477,154360.2085,p_default_1200
51995,219748.6891,p_default_1200
54897,764586.2425,np_default_300
60575,761474.5161,np_default_300
78399,346222.3039,p_default_1200
87450,738182.7241,np_default_300
89896,738644.4028,np_default_300
95680,732288.2363,np_default_300
99459,389164.2531,p_default_1200
101392,726632.3831,np_default_300
105347,724356.2060,np_default_300
105371,721836.6137,np_default_300
113431,716090.2934,np_default_300
114720,713569.5664,np_default_300
127522,704683.8626,np_default_300
128540,701779.2794,np_default_300
133870,696126.9555,np_default_300
142234,693098.0892,np_default_300
146069,430268.6438,p_default_1200
156721,424822.1027,p_default_1200
171005,419694.9316,p_default_1200
175395,655691.4618,np_default_300
176764,655613.4757,np_default_300
178921,655727.3221,np_default_300
200872,635379.2117,np_default_300
201174,638519.8062,np_default_300
212252,408648.6451,p_default_1200
232473,392554.2889,p_default_1200
235216,602462.0282,np_default_300
247197,590886.4387,np_default_300
251532,586356.4067,np_default_300
264948,370254.5553,p_default_1200
277114,562838.4954,np_default_300
293554,344005.6877,p_default_1200
297708,546582.3625,np_default_300
