at_ms,latency_ms,qid
378,1395168.5768,np_default_300
1020,1397662.7178,np_default_300
4697,1419155.9184,np_default_300
5498,1420940.2721,np_default_300
15091,660816.7251,p_default_1200
17714,804488.3218,p_default_1200
21773,1506350.6751,np_default_300
22046,1514520.6073,np_default_300
23491,871393.4188,p_default_1200
27448,1511139.8519,np_default_300
30287,1524436.4216,np_default_300
30470,894949.5772,p_default_1200
31540,893944.9649,p_default_1200
40122,908595.8998,p_default_1200
43725,1512936.2323,np_default_300
44948,1509328.2425,np_default_300
47840,1507852.7740,np_default_300
50696,1507859.7416,np_default_300
52094,930650.9843,p_default_1200
52674,1501334.5901,np_default_300
52685,1504104.0490,np_default_300
56716,1501569.0506,np_default_300
57360,1504129.5432,np_default_300
57854,928503.3927,p_default_1200
60801,927298.6343,p_default_1200
62099,927509.2689,p_default_1200
63761,1491228.2226,np_default_300
64270,1490818.4177,np_default_300
66935,1488065.5078,np_default_300
71117,1487154.1605,np_default_300
76017,920137.2037,p_default_1200
76199,926070.4966,p_default_1200
82298,919683.4712,p_default_1200
85957,920199.2360,p_default_1200
87697,1469081.3250,np_default_300
88382,1468922.2566,np_default_300
89460,1471677.1157,np_default_300
96635,916008.2663,p_default_1200
100436,1459429.6704,np_default_300
100587,1458702.1321,np_default_300
114721,904363.7176,p_default_1200
117608,1440435.0361,np_default_300
123598,1436399.5695,np_default_300
125766,1433780.5753,np_default_300
138557,1423613.8352,np_default_300
148451,876019.5371,p_default_1200
148854,1412245.6604,np_default_300
151813,1410038.2449,np_default_300
162771,862966.1021,p_default_1200
163182,1399154.4629,np_default_300
164811,895023.8787,np_default_300
171412,751886.9072,np_default_300
176677,680101.7939,np_default_300
188330,648667.3222,np_default_300
190993,650392.8727,np_default_300
194564,627269.5570,np_default_300
204876,595716.8093,np_default_300
209931,591909.3000,np_default_300
218050,588757.7956,np_default_300
225201,588681.4472,np_default_300
230310,93572.9915,p_default_1200
232926,577815.4401,np_default_300
248452,574501.2449,np_default_300
253133,571611.7311,np_default_300
260896,566719.1371,np_default_300
264195,559171.0350,np_default_300
264423,552344.0440,np_default_300
274289,556860.6309,np_default_300
275696,498094.7700,np_default_300
277081,114805.7779,p_default_1200
287761,293722.0153,np_default_300
291062,129651.4453,p_default_1200
294799,128313.7038,p_default_1200
