at_ms,latency_ms,qid
1513,613732.6636,np_default_300
4078,619117.6206,np_default_300
10952,251856.2712,p_default_2400
18787,608086.7540,np_default_300
21992,607012.5850,np_default_300
28205,337791.0620,p_default_2400
87091,555651.0771,np_default_300
88185,553453.7824,np_default_300
109794,535610.1608,np_default_300
121150,524959.8115,np_default_300
174900,480126.5788,np_default_300
179793,475474.2887,np_default_300
191361,469115.4504,np_default_300
202784,458812.0465,np_default_300
203816,362503.2801,p_default_2400
206231,359874.4728,p_default_2400
210694,450019.6754,np_default_300
210741,450727.4947,np_default_300
226862,441109.2134,np_default_300
229441,434849.0771,np_default_300
255043,411518.5741,np_default_300
257081,411530.2656,np_default_300
267740,400670.6720,np_default_300
284469,386403.7372,np_default_300
