at_ms,latency_ms,qid
1513,320871.2694,np_default_300
4078,325720.0549,np_default_300
5476,48344.7491,p_default_1200
14102,51051.4052,p_default_1200
18787,319680.1511,np_default_300
21992,314737.5998,np_default_300
87091,279450.6761,np_default_300
88185,278054.3557,np_default_300
101908,74277.7385,p_default_1200
103115,75384.8538,p_default_1200
109794,272473.2263,np_default_300
121150,262271.8441,np_default_300
174900,219629.7721,np_default_300
179793,218667.9613,np_default_300
191361,216877.8736,np_default_300
202784,217399.3646,np_default_300
210694,215534.4176,np_default_300
210741,219593.6090,np_default_300
226862,219802.6655,np_default_300
229441,215241.0382,np_default_300
239286,42643.3677,p_default_1200
255043,205530.9442,np_default_300
257081,202637.4873,np_default_300
267740,198659.8628,np_default_300
284469,188460.4205,np_default_300
287207,41475.5116,p_default_1200
