at_ms,latency_ms,qid
2269,2221184.2612,np_default_300
6118,2224323.1604,np_default_300
11865,1675769.1252,p_default_2400
11936,1679044.3997,p_default_2400
28180,2215544.8648,np_default_300
32988,2215059.4660,np_default_300
36117,1931314.3184,p_default_2400
39986,1938720.3523,p_default_2400
78389,1999710.6969,p_default_2400
81445,1985158.1865,p_default_2400
97435,2000563.9638,p_default_2400
122527,1990596.4758,p_default_2400
130637,2123039.8381,np_default_300
132278,2115990.6184,np_default_300
164691,2088521.1636,np_default_300
181725,2072118.5735,np_default_300
222009,1951650.4096,p_default_2400
226116,1948675.9813,p_default_2400
232586,1940325.0080,p_default_2400
262350,1996418.8704,np_default_300
269689,1994513.5920,np_default_300
287041,1975678.6833,np_default_300
298440,1884010.9899,p_default_2400
299345,1883005.9073,p_default_2400
