at_ms,latency_ms,qid
2521,644995.3000,np_default_300
6797,652025.1242,np_default_300
19039,140422.1292,p_default_1200
31311,650076.1075,np_default_300
32223,286162.9418,p_default_1200
32301,297612.5972,p_default_1200
36653,640176.1720,np_default_300
59169,362555.9091,p_default_1200
63467,367371.1195,p_default_1200
106138,380325.6726,p_default_1200
109533,383150.7730,p_default_1200
127299,378526.9007,p_default_1200
145152,545345.2015,np_default_300
146975,545476.6593,np_default_300
155180,365387.7396,p_default_1200
182990,511958.1142,np_default_300
201916,489080.4625,np_default_300
265715,287016.8061,p_default_1200
270279,282997.1045,p_default_1200
277467,275912.5557,p_default_1200
291500,410641.6685,np_default_300
299654,396599.7762,np_default_300
