timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5019.54,262144,64,62303,4105447706,64,64,41263,125,0,585,790144,14,13916,60,67,1,5730,125546064,1172,1,66,9599,6748,2,5981,585,10518477,557304,1253847870,585,77,2,1,1,3,217,1,1249288604,1203456254,33749993,92961684,92961684,1,2,1,4090314096,73389,73389,2,2,2,92961684,2,3,178408,1404551,947245,11786,9533,1249288604,778358,9574440,2959
10025.57,262144,64,89236,5880085066,64,64,610906,129,1,585,1097632,14,21478,60,67,1,5730,126076968,1172,1,66,13557,51181,2,5981,585,16309961,2757441,1774474137,585,77,2,1,1,3,217,1,1767940508,1722228989,60513637,133286904,133303288,1,2,1,5864623776,73389,73389,2,2,2,133286904,2,3,186904,2815105,1272599,23009,13491,1767940508,1074623,15040407,2959
15031.89,262144,64,117442,7738921978,64,64,610906,134,1,585,1425305,14,29452,60,67,1,5730,127102578,1172,1,66,17702,74677,2,5981,585,26499765,5296205,2319978000,585,77,2,1,1,3,217,1,2311365020,2265561803,118015558,175538959,175555343,1,2,1,7723714196,73389,73389,2,2,2,175538959,2,3,206615,4131121,1738151,35768,17636,2311365020,1389537,24764946,2959
20035.53,262144,64,166421,10966064102,64,64,618886,142,1,585,1804632,14,43251,60,67,1,5730,128152320,1172,1,66,24895,74947,2,5981,585,36809951,5643884,3266267487,585,77,2,1,1,3,217,1,3254165916,3208949723,144769306,248880864,248897248,1,2,1,10950758016,73389,73389,2,2,2,248880864,2,3,232898,4787718,1924111,43156,24829,3254165916,1761476,34889144,2959
25039.36,262144,64,215309,14187507902,64,64,626862,150,1,585,2188164,14,57021,60,67,1,5730,129479580,1172,1,66,32078,75047,2,5981,585,46030058,5644136,4211116830,585,77,2,1,1,3,217,1,4195525020,4150613743,171134491,322089538,322105922,1,2,1,14171939672,73389,73389,2,2,2,322089538,2,3,266566,5444545,2102141,50366,32012,4195525020,2137798,43931103,2959
30044.03,262144,64,280493,18482838698,64,64,635012,161,1,585,2713652,14,75348,60,67,1,5730,131072292,1172,1,66,41656,75165,2,5981,585,56270372,5644576,5471428445,585,77,2,1,1,3,217,1,5451063708,5406260155,188714821,419728410,419728410,1,2,1,18468050040,73389,73389,2,2,2,419728410,2,3,281656,6337008,2302711,60311,41590,5451063708,2653341,53970994,2959
35048.42,262144,64,345479,22764614198,64,64,655111,172,1,585,3202899,14,93675,60,67,1,5730,132665004,1172,1,66,51199,75311,2,5981,585,65855924,5644999,6727009495,585,77,2,1,1,3,217,1,6701883804,6657985657,204250344,517035728,517035728,1,2,1,22748851136,73389,73389,2,2,2,517019344,2,3,283211,7188495,2471639,70302,51133,6701883804,3132597,63388147,2959
