timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadBytes,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5009.15,88,262144,64,76454,5038144616,63,66299702,289,64,64,234474,538,2,576,2118811,9,30035,60,67,1,83699,116301564,1154,1,4,516,95056244,12,380224976,66,13521,260891,2,86737,576,46545071,15183389,0,1627158283,576,984,3,1,2,2,1302,3,1619393160,1589273602,137264163,96688600,96688600,3,1,5027807232,73389,73389,2,2,2,96688604,8,3,132349,10601537,1869386,52538,13455,1619393160,2066273,44677197,13310
10013.10,88,262144,64,76518,5042338920,63,73417931,291,64,64,234474,538,2,576,2119148,9,30056,60,67,1,83699,116301564,1154,1,4,516,95137015,12,380548060,66,13530,260891,2,86737,576,46565504,15183389,0,1628342971,576,984,3,1,2,2,1302,3,1620572808,1590568162,144404851,96770520,96770520,3,1,5032067072,73389,73389,2,2,2,96770524,8,3,133289,10602265,1872294,52551,13464,1620572808,2066597,44694722,13310
15016.80,88,262144,64,76531,5043190888,63,76529136,292,64,64,234474,539,2,576,2119211,9,30066,60,67,1,83699,116301564,1154,1,4,516,95153135,12,380612540,66,13534,260891,2,86737,576,46577781,15183389,0,1628621615,576,984,3,1,2,2,1302,3,1620849160,1590854340,147528740,96786904,96786904,3,1,5032919040,73389,73389,2,2,2,96786908,8,3,133876,10602506,1875174,52555,13468,1620849160,2066656,44704120,13310
20020.76,88,262144,64,76595,5047385192,63,84190853,294,64,64,234474,539,2,576,2119569,9,30087,60,67,1,83699,116301564,1154,1,4,516,95233930,12,380935720,66,13543,260891,2,86737,576,46599053,15183389,0,1629806308,576,984,3,1,2,2,1302,3,1622028808,1592148054,155213246,96868824,96868824,3,1,5037178880,73389,73389,2,2,2,96868828,8,3,136144,10603220,1880089,52567,13477,1622028808,2067002,44720477,13310
25024.33,88,262144,64,76622,5049154664,63,88395207,295,64,64,234474,539,2,576,2119690,9,30101,60,67,1,83699,116301564,1154,1,4,516,95266272,12,381065088,66,13547,260891,2,86737,576,46611555,15183389,0,1630332887,576,984,3,1,2,2,1302,3,1622553096,1592714953,159430758,96901592,96901592,3,1,5038882816,73389,73389,2,2,2,96901596,8,3,136843,10603507,1881059,52573,13481,1622553096,2067117,44732009,13310
30029.30,176,262144,64,170064,11206211406,96,148007563,597,127,127,682067,1143,19,576,4632750,9,66891,60,79,2328,83699,117508164,1154,1,4,516,211866647,12,847466588,78,29643,452252,2,89196,576,101439631,28799307,5242880,3574019935,576,984,3,1,2,2,1302,3,3557372678,3531025066,299707236,215317474,215317474,3,1,11196508680,73389,73389,2,2,2,215317478,8,3,412995,21158837,4034095,115431,29514,3557372678,4517319,97407344,13310
35043.85,181,262144,64,179736,11844141840,126,183889534,635,158,158,682067,1209,19,576,4818509,9,70726,60,79,2328,83699,117508164,1154,1,4,516,224067549,12,895883104,78,31353,458700,2,89196,576,107188460,29413596,8781824,3776575645,576,984,3,1,2,2,1302,3,3758948820,3731769565,342486944,227561023,227593791,3,1,11832321260,73389,73389,2,2,2,227544643,8,3,474327,21736398,4325507,120550,31193,3758948820,4697959,102865194,13310
40052.42,333,262144,64,336335,22164122282,159,224142077,1103,196,196,682067,2219,73,576,8299346,9,132468,60,79,2328,83699,117508164,1154,1,4,516,419701593,12,1678071972,78,58305,612634,2,89196,576,199001028,40385529,85889024,7040694584,576,984,3,1,2,2,1302,3,7007617990,6980901588,495843528,425963349,426061653,3,1,22149242212,73389,73389,2,2,2,425946969,8,3,597629,32512251,6961489,213004,58107,7007617990,8086342,192045500,13310
