timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
55050.54,0,262144,64,95006,6259929092,0,25996467,2496,1,1,13908,659,0,576,545260,2,37369,4,117218580,1154,1,4,230,118331270,4,473325080,3,16642,807,2,7,576,27690694,1700,2012198948,576,76,3,1,2,2,553,3,2003234551,1974033270,55744557,120183195,120183195,3,1,6249526172,73389,73389,2,2,2,120183199,4,3,30726,1295216,293483,18906,16639,2003234551,526354,27398262,848
60054.83,0,262144,64,100753,6638784628,0,29013227,2667,1,1,13908,706,0,576,573939,2,39613,4,117218580,1154,1,4,230,125438960,4,501755840,3,17640,866,2,7,576,29606612,1795,2131142392,576,76,3,1,2,2,553,3,2121628076,2093223246,60792619,127450770,127450770,3,1,6627440072,73389,73389,2,2,2,127450774,4,3,39184,1367457,315402,20111,17637,2121628076,553828,29292359,848
65059.24,0,262144,64,107553,7086915024,0,31791596,2858,1,1,13908,734,0,576,611615,2,42252,4,117508164,1154,1,4,230,133767112,4,535068448,3,18795,909,2,7,576,31730749,1908,2273439177,576,76,3,1,2,2,553,3,2263294054,2234350796,65826796,136084250,136084250,3,1,7076381032,73389,73389,2,2,2,136084254,4,3,41244,1457341,338290,21560,18792,2263294054,590055,31393630,848
70064.63,0,262144,64,113289,7464748014,0,34822671,3029,1,1,13908,783,0,576,642820,2,44506,4,117508164,1154,1,4,230,140851587,4,563406348,3,19778,968,2,7,576,33629706,1972,2391013432,576,76,3,1,2,2,553,3,2380327525,2353205310,70875957,143337600,143353984,3,1,7453555232,73389,73389,2,2,2,143337604,4,3,48872,1533986,372165,22909,19775,2380327525,619911,33258863,848
75068.91,0,262144,64,119495,7874867042,0,37858469,3197,1,1,13908,823,0,576,676531,2,46963,4,117508164,1154,1,4,230,148594212,4,594376848,3,20861,1003,2,7,576,35503704,2092,2522067405,576,76,3,1,2,2,553,3,2510792315,2482492985,75931684,151202747,151202747,3,1,7862542876,73389,73389,2,2,2,151202751,4,3,56355,1617221,400941,24354,20858,2510792315,652177,35104303,848
80072.67,0,262144,64,124361,8195020082,0,41339024,3329,1,1,13908,850,0,576,700580,2,48920,4,117508164,1154,1,4,230,154915843,4,619663372,3,21657,1006,2,7,576,36978689,2660,2619823052,576,76,3,1,2,2,553,3,2608112783,2583161826,80982047,157387263,157387263,3,1,8184137708,73389,73389,2,2,2,157387267,4,3,62797,1676910,429407,25342,21654,2608112783,675238,36550802,848
85077.03,0,262144,64,128474,8466174428,0,45065928,3440,1,1,13908,877,0,576,721716,2,50546,4,117508164,1154,1,4,230,160112558,4,640450232,3,22384,1010,2,7,576,38182533,2727,2707495029,576,76,3,1,2,2,553,3,2695392171,2668391460,85995550,162611156,162611156,3,1,8455780144,73389,73389,2,2,2,162611160,4,3,70948,1730085,455183,26202,22381,2695392171,695514,37728828,848
90082.63,0,262144,64,133060,8768266972,0,48504269,3577,1,1,13908,911,0,576,745829,2,52347,4,117508164,1154,1,4,230,165774093,4,663096372,3,23197,1072,2,7,576,39691285,2783,2805279435,576,76,3,1,2,2,553,3,2792729344,2763541395,91038549,168416681,168416681,3,1,8757667444,73389,73389,2,2,2,168416685,4,3,76843,1790875,470454,27159,23194,2792729344,718670,39222417,848
95087.39,0,262144,64,137298,9047263404,0,52075825,3701,1,1,13908,927,0,576,766090,2,53960,4,117508164,1154,1,4,230,170989400,4,683957600,3,23886,1074,2,7,576,41077665,2840,2890238327,576,76,3,1,2,2,553,3,2877304629,2851415478,96079406,173790189,173790189,3,1,9037089860,73389,73389,2,2,2,173790193,4,3,84764,1842150,495177,27997,23883,2877304629,738093,40584191,848
100091.26,0,262144,64,142176,9368516592,0,55471847,3839,1,1,13908,972,0,576,790284,2,55934,4,117508164,1154,1,4,230,177108954,4,708435816,3,24740,1084,2,7,576,42614883,2885,2992381828,576,76,3,1,2,2,553,3,2978981984,2952391503,101111324,179964354,179964354,3,1,9358146440,73389,73389,2,2,2,179964358,4,3,89251,1904485,514702,28999,24737,2978981984,761285,42101869,848
105094.99,0,262144,64,146847,9675914244,0,59057687,3962,1,1,13908,991,0,576,812932,2,57787,4,117508164,1154,1,4,230,182996869,4,731987476,3,25528,1110,2,7,576,43965203,2950,3089125508,576,76,3,1,2,2,553,3,3075298409,3049119637,106137637,185886726,185886726,3,1,9666109784,73389,73389,2,2,2,185886730,4,3,90702,1962091,522623,29932,25525,3075298409,783000,43444254,848
110100.01,0,262144,64,151441,9978531076,0,62684259,4081,1,1,13908,1034,0,576,834013,2,59608,4,117508164,1154,1,4,230,188730163,4,754920652,3,26312,1124,2,7,576,45298906,3013,3182236283,576,76,3,1,2,2,553,3,3167984737,3144863655,111160775,191667675,191667675,3,1,9966719132,73389,73389,2,2,2,191667679,4,3,94688,2017520,532442,30880,26309,3167984737,803133,44768230,848
115105.04,0,262144,64,156370,10303198996,0,66185352,4210,1,1,13908,1051,0,576,857792,2,61521,4,117508164,1154,1,4,230,194888277,4,779553108,3,27141,1135,2,7,576,46733039,3074,3284723684,576,76,3,1,2,2,553,3,3270023290,3246803331,116213512,197948336,197948336,3,1,10293313504,73389,73389,2,2,2,197948340,4,3,107321,2077662,556893,31842,27138,3270023290,825950,46178070,848
120109.95,0,262144,64,159578,10515236318,0,70125732,4300,1,1,13908,1078,0,576,873925,2,62745,4,117508164,1154,1,4,230,198696403,4,794720808,3,27724,1149,2,7,576,47765907,3153,3354593598,576,76,3,1,2,2,553,3,3339573297,3313587221,121251424,202023190,202023190,3,1,10505205912,73389,73389,2,2,2,202023194,4,3,115138,2118900,576543,32557,27721,3339573297,841368,47191359,848
125113.69,0,262144,64,162132,10682965176,0,74197015,4380,1,1,13908,1098,0,576,885837,2,63753,4,117508164,1154,1,4,230,201844181,4,807376724,3,28157,1151,2,7,576,48630918,3221,3406289224,576,76,3,1,2,2,553,3,3391028217,3366543820,126235412,205232295,205232295,3,1,10672079372,73389,73389,2,2,2,205232299,4,3,119348,2149226,588915,33088,28154,3391028217,852749,48044043,848
130118.20,0,262144,64,164539,10841627344,0,78458120,4445,1,1,13908,1104,0,576,897041,2,64722,4,117508164,1154,1,4,230,204989579,4,819958316,3,28551,1154,2,7,576,49333066,3279,3455543323,576,76,3,1,2,2,553,3,3440067401,3416299330,131242959,208289626,208289626,3,1,10831060584,73389,73389,2,2,2,208289630,4,3,123452,2176692,598035,33559,28548,3440067401,863482,48737105,848
135122.52,0,262144,64,166671,10982279178,0,82873527,4500,1,1,13908,1121,0,576,907229,2,65584,4,117508164,1154,1,4,230,207696839,4,830722688,3,28924,1163,2,7,576,49942982,3336,3500848801,576,76,3,1,2,2,553,3,3485171954,3460725016,136309154,210994701,210994701,3,1,10971724484,73389,73389,2,2,2,210994705,4,3,132039,2202077,616145,34003,28921,3485171954,873226,49328899,848
140126.64,0,262144,64,169698,11182249362,0,86939755,4581,1,1,13908,1144,0,576,921371,2,66799,4,117508164,1154,1,4,230,211560750,4,846243000,3,29476,1203,2,7,576,50808830,3367,3567465270,576,76,3,1,2,2,553,3,3551490491,3523595183,141298325,214842338,214842338,3,1,11171801608,73389,73389,2,2,2,214842342,4,3,133061,2238697,625870,34609,29473,3551490491,886762,50185005,848
145131.66,0,262144,64,172688,11379432734,0,91021149,4660,1,1,13908,1161,0,576,934746,2,67964,4,117508164,1154,1,4,230,215300119,4,861200476,3,29988,1207,2,7,576,51676870,3474,3629496111,576,76,3,1,2,2,553,3,3613244510,3585560124,146303601,218634790,218634790,3,1,11369009112,73389,73389,2,2,2,218634794,4,3,139646,2274198,647623,35212,29985,3613244510,899534,51031343,848
150135.44,0,262144,64,175624,11572485928,0,95169735,4737,1,1,13908,1178,0,576,947879,2,69124,4,117508164,1154,1,4,230,218964274,4,875857096,3,30475,1271,2,7,576,52518226,3533,3688362576,576,76,3,1,2,2,553,3,3671845984,3646371001,151346161,222357832,222357832,3,1,11562607296,73389,73389,2,2,2,222357836,4,3,142457,2308308,659288,35813,30472,3671845984,912066,51861037,848
155139.64,0,262144,64,179127,11803916700,0,99136705,4828,1,1,13908,1207,0,576,965281,2,70525,4,117508164,1154,1,4,230,223344888,4,893379552,3,31080,1281,2,7,576,53515444,3592,3761639314,576,76,3,1,2,2,553,3,3744796266,3719286775,156379243,226793134,226793134,3,1,11793243000,73389,73389,2,2,2,226793138,4,3,144977,2352424,671352,36584,31077,3744796266,928697,52846221,848
