timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPReceiveBytes,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkReceiveBytes,NetworkReceiveElapsedMicroseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,QueryTimeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectQueryTimeMicroseconds,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
190060.09,4,253952,62,83730,5514139932,4,19858655,479,7,7,4119,604,3,567,562292,0,6,32922,15,85,111737353,1136,1,1081,0,4,473,104321267,6,417285068,14,21,10,159,567,1081,4,0,0,39451890,826026,1773828141,0,567,611,0,3,1,14,14,1022,0,3,1773011290,1739407459,60075287,105829157,105829157,1,3,1,0,5503116196,73389,73389,14,14,14,105829161,9,3,121956,576792,893038,14772,1773011290,562292,38560462,1846
192070.46,5,253952,62,89512,5897654164,5,22474039,489,7,7,4119,618,3,567,596031,0,6,35199,15,85,115103767,1136,1,1081,0,4,473,111574754,6,446299016,14,21,10,159,567,1081,4,0,0,41885154,826778,1898527228,0,567,611,0,3,1,14,14,1022,0,3,1896832105,1860310926,65130019,113185956,113185956,1,3,1,0,5885669744,73389,73389,14,14,14,113185960,9,3,125798,611418,938002,15751,1896832105,596031,40948859,1846
194081.60,7,253952,62,97993,6455733388,5,23426191,509,8,8,4119,695,3,567,657896,0,6,38540,15,85,115103767,1136,1,1081,0,4,473,122109162,6,488372076,14,22,10,159,567,1081,4,0,0,45813814,946799,2075009703,0,567,611,0,3,1,14,14,1022,0,3,2073542810,2036160208,70132012,123902363,123918747,1,3,1,0,6442922908,73389,73389,14,14,14,123902367,9,3,131460,674806,1022880,17261,2073542810,657896,44792810,1846
196094.34,9,253952,62,106387,7008919402,5,25534441,529,8,8,4119,731,3,567,720569,0,6,41834,15,85,115103767,1136,1,1081,0,4,473,132604419,6,530417676,14,22,10,159,567,1081,4,0,0,49801409,1010543,2252507329,0,567,611,0,3,1,14,14,1022,0,3,2250876444,2210394705,76284901,134546757,134546757,1,3,1,0,6996431396,73389,73389,14,14,14,134546761,9,3,134777,739076,1095708,18704,2250876444,720569,48707745,1846
198099.62,10,253952,62,114079,7514940808,6,27967730,563,8,8,4119,798,3,567,771330,0,6,44876,15,85,115103767,1136,1,1081,0,4,473,142218799,6,568810432,14,22,10,159,567,1081,4,0,0,53256704,1104012,2412646064,0,567,611,0,3,1,14,14,1022,0,3,2410609459,2369680870,82261519,144282283,144282283,1,3,1,0,7502678748,73389,73389,14,14,14,144282287,9,3,139787,791158,1165612,20069,2410609459,771330,52093288,1846
200113.88,10,253952,62,120329,7927328054,6,29519778,574,9,9,4119,819,3,576,807863,0,6,47318,15,85,116602928,1154,1,1081,0,4,473,150010927,6,599979140,14,23,10,159,576,1081,4,0,0,55836860,1119332,2540292275,0,576,625,0,3,1,14,14,1022,0,3,2538419998,2499597275,86409750,152200900,152200900,1,3,1,0,7914446832,73389,73389,14,14,14,152200904,9,3,143546,828632,1219625,21094,2538419998,807863,54619530,1882
202121.10,12,253952,62,129138,8507820102,6,31223560,622,9,9,4119,896,3,576,875568,0,6,50800,15,85,116602928,1154,1,1081,0,4,473,160976314,6,643840632,14,23,10,159,576,1081,4,0,0,60040748,1258133,2729151935,0,576,625,0,3,1,14,14,1022,0,3,2727498928,2682865530,92443611,163322589,163336814,1,3,1,0,8492774660,73389,73389,14,14,14,163322593,9,3,148020,897996,1305456,22697,2727498928,875568,58737762,1882
204132.61,14,253952,62,138196,9104256568,6,32763524,684,9,9,4119,934,3,576,942179,0,6,54339,15,85,116602928,1154,1,1081,0,4,473,172262627,6,688985876,14,23,10,159,576,1081,4,0,0,64423246,1409395,2915174022,0,576,625,0,3,1,14,14,1022,0,3,2913090184,2870732388,98497908,174802567,174802567,1,3,1,0,9089733516,73389,73389,14,14,14,174802571,9,3,154231,966282,1393081,24197,2913090184,942179,63032821,1882
206142.43,15,253952,62,147593,9722921804,6,34186283,753,9,9,4119,988,3,576,1014470,0,6,58031,15,85,116602928,1154,1,1081,0,4,473,184003880,6,735951096,14,23,10,159,576,1081,4,0,0,68870085,1575109,3116550350,0,576,625,0,3,1,14,14,1022,0,3,3114261947,3065768018,104496902,186661536,186677920,1,3,1,0,9706399904,73389,73389,14,14,14,186661540,9,3,155627,1040267,1465843,25860,3114261947,1014470,67407084,1882
208149.76,17,253952,62,156923,10337220260,6,35685245,813,9,9,4119,1058,3,585,1087810,0,6,61708,15,85,118044081,1172,1,1081,0,4,473,195623710,6,782430192,14,23,10,159,585,1081,4,0,0,73270005,1730419,3311642520,0,585,636,0,3,1,14,14,1022,0,3,3308643453,3259327835,110551962,198479545,198495929,1,3,1,0,10320936372,73389,73389,14,14,14,198479549,9,3,160291,1115259,1555255,27485,3308643453,1087810,71717778,1914
210158.86,19,253952,62,166268,10953515300,6,37190822,880,9,9,4119,1109,3,585,1156681,0,6,65366,15,85,118357797,1172,1,1081,0,4,473,207244811,6,828914760,14,23,10,159,585,1081,4,0,0,77649591,1875657,3506431671,0,585,636,0,3,1,14,14,1022,0,3,3503899599,3453861332,116545486,210282885,210315653,1,3,1,0,10934710052,73389,73389,14,14,14,210282889,9,3,165128,1185933,1630032,29089,3503899599,1156681,76022780,1914
212171.78,21,253952,62,175371,11554071288,6,38755037,940,9,9,4119,1181,3,585,1229050,0,6,68975,15,85,118357797,1172,1,1081,0,4,473,218653803,6,874550628,14,23,10,159,585,1081,4,0,0,81986802,2009558,3704935383,0,585,636,0,3,1,14,14,1022,0,3,3701956777,3643029787,122585396,221838306,221838306,1,3,1,0,11535591944,73389,73389,14,14,14,221838310,9,3,167520,1260107,1709111,30751,3701956777,1229050,80281096,1914
214178.79,23,253952,62,184862,12178329806,6,40147900,1014,9,9,4119,1231,3,594,1297240,0,6,72693,15,85,120112940,1190,1,1081,0,4,473,230480363,6,921921452,14,23,10,159,594,1081,4,0,0,86537341,2133400,3905589992,0,594,645,0,3,1,14,14,1022,0,3,3902023778,3840099422,128631025,233816281,233816281,1,3,1,0,12158446644,73389,73389,14,14,14,233816285,9,3,171521,1330112,1793944,32392,3902023778,1297240,84746991,1942
216183.51,24,253952,62,193705,12762170440,6,41251799,1085,9,9,4119,1301,3,612,1354954,0,6,76175,15,85,123120394,1226,1,1081,0,4,473,241483022,6,965932088,14,23,10,159,612,1081,4,0,0,90728342,2191126,4094503001,0,612,665,0,3,1,14,14,1022,0,3,4091808885,4024411669,133970162,244992711,244992711,1,3,1,0,12739621004,73389,73389,14,14,14,244992715,9,3,183112,1389427,1878854,34002,4091808885,1354954,88853258,2012
218190.73,24,253952,62,200137,13184861290,8,43727456,1099,11,11,4119,1330,3,639,1388691,0,6,78698,15,85,127928276,1280,1,1081,0,4,473,249508696,6,998034784,14,25,10,159,639,1081,4,0,0,93383350,2193514,4230566755,0,639,682,0,3,1,14,14,1022,0,3,4227367509,4157693052,139094188,253116572,253132956,1,3,1,0,13162061776,73389,73389,14,14,14,253116576,9,3,189713,1424113,1936816,35107,4227367509,1388691,91450400,2080
220198.02,26,253952,62,210029,13836352958,8,44871547,1191,11,11,4119,1409,7,639,1456418,0,6,82592,15,85,128266124,1280,1,1081,0,4,473,261830545,6,1047322180,14,25,10,159,639,1081,4,0,0,98234320,2241208,4442997805,0,639,682,0,3,1,14,14,1022,0,3,4439084070,4363569306,145125853,265612358,265612358,1,3,1,0,13811842648,73389,73389,14,14,14,265612362,9,3,195291,1493667,2032588,36903,4439084070,1456418,96205795,2080
222204.38,29,253952,62,219762,14478558606,8,46019129,1282,11,11,4119,1459,7,639,1523675,0,6,86408,15,85,128555708,1280,1,1081,0,4,473,273944428,6,1095777712,14,25,10,159,639,1081,4,0,0,103067023,2281528,4646740935,0,639,682,0,3,1,14,14,1022,0,3,4642890270,4566129413,151145859,277919284,277935668,1,3,1,0,14451802800,73389,73389,14,14,14,277919288,9,3,198035,1562690,2106444,38583,4642890270,1523675,100964838,2080
