timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
316133.31,10,253952,62,79732,5251101394,4,20812550,587,7,7,5127,554,2,576,668853,0,8,31331,12,112548034,1154,1,4,1722,99313520,9,397254080,11,21,7,2644,576,42325040,1126602,1685111851,576,716,0,3,1,14,14,2354,3,1683922541,1656066671,64155207,100797554,100797554,1,3,1,5240620872,73389,73389,14,14,14,100781174,9,3,144872,685012,1091698,13998,1683922541,668853,41234954,2040
318141.45,12,253952,62,88673,5841112946,4,22039383,670,7,7,5127,632,2,576,745458,0,8,34889,12,113802898,1154,1,4,1722,110529591,9,442053844,11,21,7,2644,576,47063723,1202450,1875816777,576,716,0,3,1,14,14,2354,3,1874047262,1842019946,70209691,112139983,112139983,1,3,1,5831279148,73389,73389,14,14,14,112139987,9,3,147142,763430,1183516,15613,1874047262,745458,45882011,2040
320146.81,12,253952,62,97061,6394158886,4,23190484,743,7,7,5127,671,5,585,814701,0,8,38157,12,118414804,1172,1,4,1722,120948470,9,483793880,11,21,7,2644,585,51365131,1276463,2049968237,585,725,0,3,1,14,14,2354,3,2048027140,2016044209,75725658,122722715,122739099,1,3,1,6381581212,73389,73389,14,14,14,122722719,9,3,153776,834259,1278403,17032,2048027140,814701,50088711,2062
322153.76,12,253952,62,102917,6780761146,5,25779240,753,8,8,5127,722,5,585,848414,0,8,40502,12,118414804,1172,1,4,1722,128327895,9,513311580,11,22,7,2644,585,53826409,1276509,2171799786,585,725,0,3,1,14,14,2354,3,2170292348,2138119428,80765083,130190772,130190772,1,3,1,6769920176,73389,73389,14,14,14,130190776,9,3,158674,868888,1326285,18073,2170292348,848414,52502197,2062
324161.85,14,253952,62,111775,7363788762,5,27029473,840,8,8,5127,766,5,585,923182,0,8,43970,12,118414804,1172,1,4,1722,139359370,9,557437480,11,22,7,2644,585,58530190,1378738,2356772962,585,725,0,3,1,14,14,2354,3,2355330283,2321680202,86807047,141380156,141412924,1,3,1,7351768144,73389,73389,14,14,14,141380160,9,3,163312,945410,1405020,19585,2355330283,923182,57127430,2062
326176.59,16,253952,62,120419,7933419106,5,28330472,924,8,8,5127,833,5,585,998591,0,8,47382,12,118414804,1172,1,4,1722,150127210,9,600508840,11,22,7,2644,585,63177787,1480036,2540553768,585,725,0,3,1,14,14,2354,3,2538825500,2501183896,92832438,152335846,152352230,1,3,1,7921464024,73389,73389,14,14,14,152335850,9,3,171671,1022578,1501986,21125,2538825500,998591,61678246,2062
328183.38,17,253952,62,129813,8551296500,5,29354443,1015,8,8,5127,885,5,585,1072987,0,8,51071,12,118414804,1172,1,4,1722,161873142,9,647492568,11,22,7,2644,585,68174222,1498525,2732421002,585,725,0,3,1,14,14,2354,3,2730481397,2695899783,98870335,164215517,164215517,1,3,1,8539206916,73389,73389,14,14,14,164215521,9,3,172020,1098773,1573873,22707,2730481397,1072987,66602997,2062
330189.45,17,253952,62,139416,9184041320,5,30455895,1116,8,8,5127,938,5,594,1149288,0,8,54837,12,119913965,1190,1,4,1722,173843682,9,695374728,11,22,7,2644,594,73107091,1507556,2937428662,594,735,0,3,1,14,14,2354,3,2934634104,2895124646,104896482,176373272,176389656,1,3,1,9171410176,73389,73389,14,14,14,176373276,9,3,172043,1176980,1659785,24374,2934634104,1149288,71450166,2092
332194.86,25,253952,62,148716,9796421960,5,31629694,1208,8,8,5127,1011,5,594,1226131,0,8,58499,12,119913965,1190,1,4,1722,185423093,9,741692372,11,22,7,2644,594,77925732,1526037,3135137340,594,735,0,3,1,14,14,2354,3,3132148110,3088610049,110912594,188117553,188117553,1,3,1,9782112788,73389,73389,14,14,14,188117557,9,3,173351,1255638,1758846,26040,3132148110,1226131,76168947,2092
334205.54,27,253952,62,158076,10414520528,6,33508623,1300,9,9,5127,1059,5,594,1307394,0,8,62184,13,119926031,1190,1,4,1722,197134452,9,788537808,12,23,7,2660,594,83077190,1568658,3325755237,594,735,0,3,1,14,14,2354,3,3322571745,3283236871,117976890,199996336,199996336,1,3,1,10399809504,73389,73389,14,14,14,199996340,9,3,176356,1338797,1836183,27597,3322571745,1307394,81244266,2092
