timestamp_ms,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptionResumes,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,MergingSortedMilliseconds,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
149082.85,253952,62,239984,15811427402,22,26144564,0,128,33,33,4417,153,675,1261460,4,14,63398,39,158,145596860,1352,1,0,38,47,7,12,259,675,0,0,0,49461493,79719,4671815243,0,671,330,4,2,1,14,14,375,1,4673342416,4625764221,182549394,358991390,359007774,1,2,1,15795621160,73389,73389,14,14,14,358991390,6,3,615539,1290884,2566863,35677,4673342416,1261460,46896634,1822
151088.16,253952,62,262657,17305554142,22,26144564,0,128,33,33,4417,157,675,1361873,4,14,69803,39,158,146127764,1352,1,0,38,47,7,12,259,675,0,0,0,53957378,80608,5109124439,0,671,330,4,2,1,14,14,375,1,5110205392,5062551739,192534686,392954029,392970413,1,2,1,17289977276,73389,73389,14,14,14,392954029,6,3,625874,1393833,2699429,39010,5110205392,1361873,51260131,1822
153094.56,253952,62,284872,18769399942,22,26144564,0,128,33,33,4417,160,675,1485802,4,14,76025,39,158,146658668,1352,1,0,38,47,7,12,259,675,0,0,0,58833617,127804,5536871190,0,671,330,4,2,1,14,14,375,1,5537631184,5490430429,218858343,426230699,426230699,1,2,1,18753429860,73389,73389,14,14,14,426214315,6,3,634974,1520639,2871418,42271,5537631184,1485802,55964574,1822
155101.19,253952,62,304282,20047929470,24,29905272,0,169,33,33,4417,164,675,1634205,4,14,81549,39,158,147455024,1352,1,0,38,47,7,12,259,675,0,0,0,63555123,285954,5908584233,0,671,330,4,2,1,14,14,375,1,5910534987,5864193238,279673014,455288933,455305317,1,2,1,20032713052,73389,73389,14,14,14,455288933,6,3,652774,1671893,3080614,45120,5910534987,1634205,60477006,1822
157109.88,253952,62,322547,21250856606,28,37196829,0,231,33,33,4417,168,675,1774080,4,14,86741,39,158,147985928,1352,1,0,38,47,7,12,259,675,0,0,0,68849830,571727,6260538128,0,671,330,4,2,1,14,14,375,1,6261445993,6215748247,327921792,482622973,482639357,1,2,1,21235410812,73389,73389,14,14,14,482622973,6,3,663452,1814579,3262354,47804,6261445993,1774080,65589971,1822
159116.01,253952,62,340779,22452196792,29,39916880,0,298,35,35,4417,172,675,1901024,4,14,91927,39,158,148516832,1352,1,0,38,49,7,12,259,675,0,0,0,73594903,663992,6612548080,0,671,330,4,2,1,14,14,375,1,6612135946,6566821037,336274508,509944503,509944503,1,2,1,22437558132,73389,73389,14,14,14,509944503,6,3,667457,1944234,3414911,50486,6612135946,1901024,70182734,1822
161120.68,253952,62,351317,23146531488,33,45678005,0,312,35,35,4417,173,675,1950575,4,14,94908,39,158,148782284,1352,1,0,38,49,7,12,259,675,0,0,0,75893379,675780,6815801943,0,671,330,4,2,1,14,14,375,1,6814904330,6769888105,344555878,525708453,525708453,1,2,1,23131171932,73389,73389,14,14,14,525708453,6,3,670131,1995067,3476997,52033,6814904330,1950575,72419214,1822
163125.17,253952,62,364841,24037457956,35,48391586,0,339,37,37,4417,176,675,2031836,4,14,98755,39,158,149578640,1352,1,0,38,51,7,12,259,675,0,0,0,79082294,706302,7076617910,0,671,330,4,2,1,14,14,375,1,7074814787,7030292257,350726293,545967208,545967208,1,2,1,24022557152,73389,73389,14,14,14,545967208,6,3,679661,2078124,3596927,54022,7074814787,2031836,75488316,1822
165130.89,253952,62,379382,24995460520,36,50397289,0,386,40,40,4417,179,675,2135958,4,14,102886,39,158,149844092,1352,1,0,38,54,7,12,259,675,0,0,0,82571239,773158,7355524546,0,671,330,4,2,1,14,14,375,1,7354260291,7310246372,355851158,567733291,567749675,1,2,1,24980264804,73389,73389,14,14,14,567733291,6,3,689017,2184353,3739107,56154,7354260291,2135958,78835201,1822
167137.68,253952,62,398089,26226410912,36,52576016,0,447,41,41,4417,185,675,2274390,4,14,108309,39,158,151171352,1352,1,0,38,55,7,12,259,675,0,0,0,87421714,917882,7711071385,0,671,330,4,2,1,14,14,375,1,7711388099,7670000184,364421936,595726565,595726565,1,2,1,26211247964,73389,73389,14,14,14,595710181,6,3,703725,2325451,3933785,58900,7711388099,2274390,83491116,1822
167598.46,253952,62,400982,26415782060,38,53951409,2,459,44,44,4417,191,675,2293475,4,14,109422,45,158,158511825,1359,1,1035,44,65,7,38,441,675,527,1035,128,88604486,998610,7767123250,8,671,330,4,2,1,14,14,375,1,7763869224,7725268584,408829294,600037902,600037902,1,2,1,26401667688,73389,73389,14,14,14,600037902,6,3,707933,2344956,3987474,59330,7763869224,2293475,84620226,1822
