timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,InterfaceHTTPSendBytes,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,NetworkSendBytes,NetworkSendElapsedMicroseconds,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OSWriteChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SchedulerNodeUpdate,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHit,ThreadPoolReaderPageCacheHitBytes,ThreadPoolReaderPageCacheHitElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
480041.05,9,253952,62,58316,3840994382,4,17842626,347,7,7,4643,408,0,567,495938,0,6,22905,11,108877711,1136,1,0,4,1118,72599991,7,290399964,10,21,6,891,567,0,0,32566304,1374175,1245474337,0,567,732,0,3,1,14,14,1731,3,1244790846,1212043855,51700751,73686413,73686413,1,3,1,3831693508,73389,73389,14,14,14,73686417,10,3,130890,507638,869031,10358,1244790846,495938,31698477,2036
482051.51,9,253952,62,64142,4225630562,4,20030160,404,7,7,4643,469,1,567,552034,0,6,25230,11,111049591,1136,1,0,4,1118,79898632,7,319594528,10,21,6,891,567,0,0,36071520,1743788,1365958382,0,567,732,0,3,1,14,14,1731,3,1365014283,1333199814,57777640,81072550,81072550,1,3,1,4215772632,73389,73389,14,14,14,81072554,10,3,135332,565011,952580,11392,1365014283,552034,35120279,2036
484057.98,9,253952,62,69505,4578934162,5,22649248,448,7,7,4643,489,1,567,589764,0,6,27325,11,111966607,1136,1,0,4,1118,86605172,7,346356104,10,21,6,891,567,0,0,38877423,1866588,1474404071,0,567,732,0,3,1,14,14,1731,3,1472954529,1444752619,63308928,87858956,87858956,1,3,1,4568665744,73389,73389,14,14,14,87858960,10,3,137466,603752,1006430,12263,1472954529,589764,37872442,2036
486073.62,9,253952,62,74737,4922494210,5,23939713,473,8,8,4643,546,1,567,627784,0,6,29407,11,112328587,1136,1,0,4,1118,93143833,7,372575332,10,22,6,891,567,0,0,41558633,1992400,1585164874,0,567,732,0,3,1,14,14,1731,3,1584133846,1552549196,67399866,94490158,94490158,1,3,1,4913488248,73389,73389,14,14,14,94490162,10,3,144600,642778,1057416,13226,1584133846,627784,40502766,2036
488088.47,9,253952,62,80480,5300846282,5,26169143,529,8,8,4643,565,1,567,684037,0,6,31647,11,113354197,1136,1,0,4,1118,100302569,7,401210276,10,22,6,891,567,0,0,44971288,2293233,1705787105,0,567,732,0,3,1,14,14,1731,3,1704565278,1671641617,73328533,101751700,101768084,1,3,1,5291088432,73389,73389,14,14,14,101751704,10,3,149336,700263,1118058,14189,1704565278,684037,43854902,2036
490101.43,11,253952,62,85723,5647166380,5,28698207,585,8,8,4643,594,1,567,746281,0,6,33720,11,115103767,1136,1,0,4,1118,106873985,7,427495940,10,22,6,891,567,0,0,48218182,3020281,1810200780,0,567,732,0,3,1,14,14,1731,3,1808524247,1780750850,79811498,108416941,108433325,1,3,1,5637680964,73389,73389,14,14,14,108416945,10,3,155014,763621,1185750,15048,1808524247,746281,47034227,2036
492112.12,12,253952,62,90925,5990316862,5,30696074,640,8,8,4643,648,1,567,801172,0,6,35776,11,115103767,1136,1,0,4,1118,113337173,7,453348692,10,22,6,891,567,0,0,51438330,3785993,1923923299,0,567,732,0,3,1,14,14,1731,3,1922382757,1889063031,85780407,115004580,115004580,1,3,1,5980238192,73389,73389,14,14,14,115004584,10,3,158368,819775,1256993,16028,1922382757,801172,50183261,2036
494128.87,12,253952,62,96100,6330998044,5,32410320,699,8,8,4643,667,1,567,851833,0,6,37789,11,115103767,1136,1,0,4,1118,119755614,7,479022456,10,22,6,891,567,0,0,54643541,4287811,2030466258,0,567,732,0,3,1,14,14,1731,3,2028676060,1996197939,90933214,121563769,121563769,1,3,1,6321316020,73389,73389,14,14,14,121563773,10,3,163147,871585,1329682,16884,2028676060,851833,53315902,2036
496139.80,15,253952,62,101043,6656197356,5,34852645,746,8,8,4643,694,1,567,909789,0,6,39745,11,115103767,1136,1,0,4,1118,125997765,7,503991060,10,22,6,891,567,0,0,57787640,4982987,2137510732,0,567,732,0,3,1,14,14,1731,3,2135338275,2098639499,97461790,127813821,127813821,1,3,1,6646318724,73389,73389,14,14,14,127813825,10,3,167192,930666,1398294,17760,2135338275,909789,56391516,2036
498146.61,15,253952,62,105575,6954787154,6,37915803,781,8,8,4643,739,1,567,942194,0,6,41533,11,115103767,1136,1,0,4,1118,131608004,7,526432016,10,22,6,891,567,0,0,60190679,5178279,2230676822,0,567,732,0,3,1,14,14,1731,3,2228668542,2193290443,103116674,133521042,133521042,1,3,1,6943094216,73389,73389,14,14,14,133521046,10,3,168492,963928,1444965,18564,2228668542,942194,58747982,2036
