event,value,description
Query,34,"Number of queries to be interpreted and potentially executed. Does not include queries that failed to parse or were rejected due to AST size limits, quota limits or limits on the number of simultaneously running queries. May include internal queries initiated by ClickHouse itself. Does not count subqueries."
SelectQuery,18,"Same as Query, but only for SELECT queries."
InsertQuery,8,"Same as Query, but only for INSERT queries."
InitialQuery,34,"Same as Query, but only counts initial queries (see is_initial_query)."
QueriesWithSubqueries,72,Count queries with all subqueries
SelectQueriesWithSubqueries,64,Count SELECT queries with all subqueries
QueryTimeMicroseconds,679770773,Total time of all queries.
SelectQueryTimeMicroseconds,383202252,Total time of SELECT queries.
InsertQueryTimeMicroseconds,296558805,Total time of INSERT queries.
OtherQueryTimeMicroseconds,9716,Total time of queries that are not SELECT or INSERT.
FileOpen,59286,Number of files opened.
Seek,23082,Number of times the 'lseek' function was called.
ReadBufferFromFileDescriptorRead,973063,Number of reads (read/pread) from a file descriptor. Does not include sockets.
ReadBufferFromFileDescriptorReadBytes,224651378043,"Number of bytes read from file descriptors. If the file is compressed, this will show the compressed data size."
WriteBufferFromFileDescriptorWrite,181238,Number of writes (write/pwrite) to a file descriptor. Does not include sockets.
WriteBufferFromFileDescriptorWriteBytes,151915036422,"Number of bytes written to file descriptors. If the file is compressed, this will show compressed data size."
FileSync,21,Number of times the F_FULLFSYNC/fsync/fdatasync function was called for files.
FileSyncElapsedMicroseconds,3401,Total time spent waiting for F_FULLFSYNC/fsync/fdatasync syscall for files.
ReadCompressedBytes,223673328702,"Number of bytes (the number of bytes before decompression) read from compressed sources (files, network)."
CompressedReadBufferBlocks,8856483,"Number of compressed blocks (the blocks of data that are compressed independent of each other) read from compressed sources (files, network)."
CompressedReadBufferBytes,670416709320,"Number of uncompressed bytes (the number of bytes after decompression) read from compressed sources (files, network)."
OpenedFileCacheHits,9201,"Number of times a file has been found in the opened file cache, so we didn't have to open it again."
OpenedFileCacheMisses,18124,"Number of times a file has been found in the opened file cache, so we had to open it again."
OpenedFileCacheMicroseconds,12934,Amount of time spent executing OpenedFileCache methods.
IOBufferAllocs,205526,Number of allocations of IO buffers (for ReadBuffer/WriteBuffer).
IOBufferAllocBytes,80916366656,Number of bytes allocated for IO buffers (for ReadBuffer/WriteBuffer).
ArenaAllocChunks,656,Number of chunks allocated for memory Arena (used for GROUP BY and similar operations)
ArenaAllocBytes,3653632,Number of bytes allocated for memory Arena (used for GROUP BY and similar operations)
FunctionExecute,2243299,"Number of SQL ordinary function calls (SQL functions are called on per-block basis, so this number represents the number of blocks)."
TableFunctionExecute,12,Number of table function calls.
MarkCacheHits,9441,"Number of times an entry has been found in the mark cache, so we didn't have to load a mark file."
MarkCacheMisses,126,"Number of times an entry has not been found in the mark cache, so we had to load a mark file in memory, which is a costly operation, adding to query latency."
QueryConditionCacheHits,154,Number of times an entry has been found in the query condition cache (and reading of marks can be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
QueryConditionCacheMisses,182,Number of times an entry has not been found in the query condition cache (and reading of mark cannot be skipped). Only updated for SELECT queries with SETTING use_query_condition_cache = 1.
CreatedReadBufferOrdinary,23212,Number of times ordinary read buffer was created for reading data (while choosing among other read methods).
CreatedReadBufferDirectIO,4113,Number of times a read buffer with O_DIRECT was created for reading data (while choosing among other read methods).
DiskReadElapsedMicroseconds,179330881,Total time spent waiting for read syscall. This include reads from page cache.
DiskWriteElapsedMicroseconds,52923739,Total time spent waiting for write syscall. This include writes to page cache.
NetworkReceiveElapsedMicroseconds,270950312,"Total time spent waiting for data to receive or receiving data from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendElapsedMicroseconds,397932,"Total time spent waiting for data to send to network or sending data to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkReceiveBytes,25073,"Total number of bytes received from network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
NetworkSendBytes,20417316,"Total number of bytes send to network. Only ClickHouse-related network interaction is included, not by 3rd party libraries."
GlobalThreadPoolExpansions,831,Counts the total number of times new threads have been added to the global thread pool. This metric indicates the frequency of expansions in the global thread pool to accommodate increased processing demands.
GlobalThreadPoolThreadCreationMicroseconds,81807,Total time spent waiting for new threads to start.
GlobalThreadPoolLockWaitMicroseconds,8388,Total time threads have spent waiting for locks in the global thread pool.
GlobalThreadPoolJobs,18383,Counts the number of jobs that have been pushed to the global thread pool.
