event,value,description
MergeMutateBackgroundExecutorTaskExecuteStepMicroseconds,355827,Time spent in executeStep() for MergeMutate executor tasks.
MergeMutateBackgroundExecutorTaskResetMicroseconds,13726,Time spent resetting task for MergeMutate executor.
CommonBackgroundExecutorTaskExecuteStepMicroseconds,352979,Time spent in executeStep() for Common executor tasks.
CommonBackgroundExecutorTaskResetMicroseconds,19,Time spent resetting task for Common executor.
MergeTreeDataWriterSortingBlocksMicroseconds,7,Time spent sorting blocks
InsertedCompactParts,3,Number of parts inserted in Compact format.
MergedIntoCompactParts,1,Number of parts merged into Compact format.
ContextLock,2458,Number of times the lock of Context was acquired or tried to acquire. This is global lock.
ContextLockWaitMicroseconds,11,Context lock wait time in microseconds
RWLockAcquiredReadLocks,322,Number of times a read lock was acquired (in a heavy RWLock).
PartsLockHoldMicroseconds,1717084,Total time spent holding data parts lock in MergeTree tables
PartsLockWaitMicroseconds,1,Total time spent waiting for data parts lock in MergeTree tables
PartsLocks,209,Number of times data parts lock has been acquired for MergeTree tables
SharedPartsLockHoldMicroseconds,2510,Total time spent holding shared data parts lock in MergeTree tables
SharedPartsLockWaitMicroseconds,1,Total time spent waiting for shared data parts lock in MergeTree tables
SharedPartsLocks,2306,Number of times shared data parts lock has been acquired for MergeTree tables
RealTimeMicroseconds,645921,Total (wall clock) time spent in processing (queries and other tasks) threads (note that this is a sum).
UserTimeMicroseconds,356409,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in user mode. This includes time CPU pipeline was stalled due to main memory access, cache misses, branch mispredictions, hyper-threading, etc."
SystemTimeMicroseconds,45045,"Total time spent in processing (queries and other tasks) threads executing CPU instructions in OS kernel mode. This is time spent in syscalls, excluding waiting time during blocking syscalls."
MemoryAllocatorPurge,1,Total number of times memory allocator purge was requested
MemoryAllocatorPurgeTimeMicroseconds,4723,Total time spent for memory allocator purge
SoftPageFaults,9704,"The number of soft page faults in query execution threads. Soft page fault usually means a miss in the memory allocator cache, which requires a new memory mapping from the OS and subsequent allocation of a page of physical memory."
OSCPUWaitMicroseconds,228,"Total time a thread was ready for execution but waiting to be scheduled by OS, from the OS point of view."
OSCPUVirtualTimeMicroseconds,401449,CPU time spent seen by OS. Does not include involuntary waits due to virtualization.
OSWriteBytes,2629632,Number of bytes written to disks or block devices. Doesn't include bytes that are in page cache dirty pages. May not include data that was written by OS asynchronously.
OSReadChars,656642,"Number of bytes read from filesystem, including page cache, as well as network and other files."
OSWriteChars,2472795,"Number of bytes written to filesystem, including page cache, as well as network and other files."
CannotWriteToWriteBufferDiscard,44,Number of stack traces dropped by query profiler or signal handler because pipe is full or cannot write to pipe.
MemoryAllocatedWithoutCheck,6235,Number of times memory has been allocated without checking for memory constraints.
MemoryAllocatedWithoutCheckBytes,616435742,Amount of bytes that has been allocated without checking for memory constraints.
ThreadPoolReaderPageCacheHitElapsedMicroseconds,72,Time spent reading data from page cache in ThreadPoolReader.
ThreadPoolReaderPageCacheMiss,55,Number of times the read inside ThreadPoolReader was not done from page cache and was hand off to thread pool.
ThreadPoolReaderPageCacheMissBytes,254306,Number of bytes read inside ThreadPoolReader when read was not done from page cache and was hand off to thread pool.
ThreadPoolReaderPageCacheMissElapsedMicroseconds,274,Time spent reading data inside the asynchronous job in ThreadPoolReader - when read was not done from the page cache.
SynchronousReadWaitMicroseconds,3781,Time spent in waiting for synchronous reads in asynchronous local read.
MainConfigLoads,1,Number of times the main configuration was reloaded.
ServerStartupMilliseconds,1758,Time elapsed from starting server to listening to sockets in milliseconds
MergerMutatorsGetPartsForMergeElapsedMicroseconds,8762,Time spent to take data parts snapshot to build ranges from them.
MergerMutatorPrepareRangesForMergeElapsedMicroseconds,1183,Time spent to prepare parts ranges which can be merged according to merge predicate.
MergerMutatorSelectPartsForMergeElapsedMicroseconds,1701,Time spent to select parts from ranges which can be merged.
MergerMutatorRangesForMergeCount,293,Amount of candidate ranges for merge
MergerMutatorPartsInRangesForMergeCount,625,Amount of candidate parts for merge
MergerMutatorSelectRangePartsCount,6,Amount of parts in selected range for merge
AsyncLoaderWaitMicroseconds,1498141,Total time a query was waiting for async loader jobs.
LogDebug,1,Number of log messages with level Debug
LogInfo,49,Number of log messages with level Info
LogWarning,4,Number of log messages with level Warning
LoggerElapsedNanoseconds,6811392,Cumulative time spend in logging
InterfaceHTTPReceiveBytes,249,Number of bytes received through HTTP interfaces
HTTPServerConnectionsCreated,1,Number of created server HTTP connections
ConcurrencyControlSlotsGranted,3,Number of CPU slot granted according to guarantee of 1 thread per query and for queries with setting 'use_concurrency_control' = 0
ConcurrencyControlSlotsAcquiredNonCompeting,3,Total number of noncompeting CPU slot acquired
MemoryWorkerRun,707,Number of runs done by MemoryWorker in background
MemoryWorkerRunElapsedMicroseconds,730802,Total time spent by MemoryWorker for background work
AsyncLoggingConsoleTotalMessages,55,How many messages (accepted or dropped) have been sent to the async queue for the console log
AsyncLoggingFileLogTotalMessages,55,How many messages (accepted or dropped) have been sent to the async queue for the file log
AsyncLoggingErrorFileLogTotalMessages,4,How many messages (accepted or dropped) have been sent to the async queue for the error file log
