timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolJobs,GlobalThreadPoolLockWaitMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
60205.49,5,262144,64,279075,18389377746,154,0,585,2847526,17,75015,67,20634,131072292,1172,1,66,41447,1683735,2,41780,585,68662872,58989551,5445463319,585,871,2,1,2,2,591,1,5423669660,5378970072,665261647,417602808,417602808,2,1,18374523552,73389,73389,2,2,2,417602808,11,3,438002,36411378,3249476,124624,41381,5423669660,2722902,65413643,16018
65234.08,5,262144,64,284825,18768333362,155,0,585,2926728,17,76640,67,20634,131337744,1172,1,66,42292,1832846,2,41780,585,70560933,63683099,5556733914,585,871,2,1,2,2,591,1,5534425500,5489802344,711628617,426211712,426211712,2,1,18753315328,73389,73389,2,2,2,426211712,11,3,441640,38971181,3346152,128520,42226,5534425500,2798208,67214633,16018
70252.97,5,262144,64,291198,19188117906,156,0,585,3024527,17,78433,67,20634,131337744,1172,1,66,43227,2009793,2,41780,585,72812923,68292211,5679851839,585,871,2,1,2,2,591,1,5656977820,5612439805,772943431,435754504,435770888,2,1,19173198176,73389,73389,2,2,2,435754504,11,3,450859,41698068,3468883,142050,43161,5656977820,2882477,69343436,16018
75266.96,5,262144,64,298062,19640346078,157,0,585,3115353,17,80360,67,20634,131603196,1172,1,66,44237,2215366,2,41780,585,75647997,73542655,5812836063,585,871,2,1,2,2,591,1,5789360540,5744700025,821616395,446032417,446032417,2,1,19625426348,73389,73389,2,2,2,446032417,11,3,464803,44193829,3611326,146338,44171,5789360540,2969015,72036467,16018
80279.83,5,262144,64,310992,20492504694,159,0,585,3267217,17,83996,67,20634,131868648,1172,1,66,46136,2292183,2,41780,585,80048032,78481373,6062920249,585,871,2,1,2,2,591,1,6038397340,5993793415,1053433053,465400403,465400403,2,1,20477617732,73389,73389,2,2,2,465400403,11,3,479303,46297058,3847101,153084,46071,6038397340,3114133,76200635,16018
85293.73,5,262144,64,318499,20987137966,161,0,585,3375263,17,86151,67,20634,132134100,1172,1,66,47237,2397240,2,41780,585,82388300,83120637,6207883327,585,871,2,1,2,2,591,1,6182707612,6138391471,1081087322,476642813,476642813,2,1,20972283772,73389,73389,2,2,2,476642813,11,3,485733,48820722,3974180,163847,47172,6182707612,3211416,78414865,16018
90315.82,5,262144,64,333422,21970175282,163,1,585,3540079,17,90333,67,20634,132399552,1172,1,66,49427,2449546,2,41780,585,87193536,87930375,6496126685,585,871,2,1,2,2,591,1,6469755292,6425744573,1242129589,498974144,498990528,2,1,21954862336,73389,73389,2,2,2,498974144,11,3,509659,50805580,4171991,170815,49362,6469755292,3369264,83022028,16018
95343.75,5,262144,64,344829,22721991666,165,1,585,3681997,17,93554,67,20634,132665004,1172,1,66,51104,2488368,2,41780,585,90732856,92340591,6716741611,585,871,2,1,2,2,591,1,6689431964,6645486315,1281328522,516069072,516069072,2,1,22707039168,73389,73389,2,2,2,516069072,11,3,522860,53064258,4365326,179385,51038,6689431964,3502612,86367188,16018
100356.39,5,262144,64,352470,23225406762,166,1,585,3785731,17,95691,67,20634,132930456,1172,1,66,52229,2599903,2,41780,585,94121738,97146656,6864863724,585,871,2,1,2,2,591,1,6836887964,6792662284,1355923999,527499898,527516282,2,1,23209995512,73389,73389,2,2,2,527499898,11,3,528981,55439513,4504436,185773,52163,6836887964,3599958,89615977,16018
105372.89,5,262144,64,359745,23704835682,168,2,585,3880171,17,97785,67,20634,133195908,1172,1,66,53295,2703078,2,41780,585,96789599,102135888,7005221511,585,871,2,1,2,2,591,1,6976610716,6932810148,1414728140,538398244,538414628,2,1,23689522736,73389,73389,2,2,2,538398244,11,3,537227,57792153,4619172,190279,53229,6976610716,3689892,92168667,16018
110377.70,5,262144,64,378318,24928684176,171,2,585,4062336,17,102962,67,20634,133726812,1172,1,66,56022,2781594,2,41780,585,102104817,106089738,7363960072,585,871,2,1,2,2,591,1,7333912988,7290580658,1541618075,566221645,566221645,2,1,24913752380,73389,73389,2,2,2,566221645,11,3,559141,59793155,4818550,197658,55956,7333912988,3864678,97285253,16018
115389.37,5,262144,64,394141,25971234796,173,2,585,4227997,17,107439,67,20634,133992264,1172,1,66,58348,2829175,2,41780,585,106727926,110142664,7670215183,585,871,2,1,2,2,591,1,7638917532,7595376626,1585781911,589900338,589916722,2,1,25955614872,73389,73389,2,2,2,589900338,11,3,565308,61759966,4977080,204391,58282,7638917532,4023606,101750449,16018
