at_ms,latency_ms,qid
896,157984.9049,np_greedy_300
2417,416246.5692,np_greedy_300
11133,415882.7759,np_greedy_300
13032,410219.8739,np_greedy_300
18750,355279.3879,p_greedy_1200
18862,352564.9304,p_greedy_1200
51610,371576.0294,np_greedy_300
52258,361457.2891,np_greedy_300
57074,315437.1839,p_greedy_1200
63187,309506.4606,p_greedy_1200
65063,358566.6063,np_greedy_300
71792,335441.9049,np_greedy_300
103645,319286.4427,np_greedy_300
106544,313554.9812,np_greedy_300
113399,299857.2477,np_greedy_300
