at_ms,latency_ms,qid
896,201944.5952,np_default_300
2417,198901.8478,np_default_300
11133,201179.5746,np_default_300
13032,201157.5829,np_default_300
18750,33658.9506,p_default_1200
18862,33716.0474,p_default_1200
51610,182427.3742,np_default_300
52258,183562.9772,np_default_300
57074,29456.8968,p_default_1200
63187,29204.7401,p_default_1200
65063,178124.0928,np_default_300
71792,174710.3334,np_default_300
103645,165918.6178,np_default_300
106544,166153.3031,np_default_300
113399,167016.3589,np_default_300
