at_ms,latency_ms,qid
1345,343260.1112,np_default_300
3625,345017.7652,np_default_300
8698,33612.4916,p_default_1200
16699,346195.5199,np_default_300
19548,342008.4586,np_default_300
29263,88051.1693,p_default_1200
49571,144918.1452,p_default_1200
63634,161122.6109,p_default_1200
63717,161088.7390,p_default_1200
77414,297769.0466,np_default_300
78387,304918.6232,np_default_300
92377,145959.1210,p_default_1200
96961,141958.8389,p_default_1200
97595,287191.7670,np_default_300
107689,278221.6741,np_default_300
