at_ms,latency_ms,qid
1345,161005.3645,np_greedy_300
3625,431036.0082,np_greedy_300
8698,453698.0574,p_greedy_1200
16699,392934.0236,np_greedy_300
19548,405478.4079,np_greedy_300
29263,434519.9745,p_greedy_1200
49571,412476.3486,p_greedy_1200
63634,400880.6012,p_greedy_1200
63717,414239.5389,p_greedy_1200
77414,356033.5089,np_greedy_300
78387,342009.3144,np_greedy_300
92377,386647.4186,p_greedy_1200
96961,382596.8315,p_greedy_1200
97595,313792.5730,np_greedy_300
107689,299338.4811,np_greedy_300
