1 1.0000
2 1.9827
3 2.9485
4 3.8979
5 4.8312
6 5.7489
7 6.6514
8 7.5391
9 8.4122
10 9.2712
11 10.1164
12 10.9481
13 11.7667
14 12.5724
15 13.3656
16 14.1466
17 14.9155
18 15.6728
19 16.4187
20 17.1533
21 17.8771
22 18.5901
23 19.2928
24 19.9851
25 20.6675
26 21.3402
27 22.0032
28 22.6568
29 23.3013
30 23.9368
31 24.5635
32 25.1816
33 25.7913
34 26.3927
35 26.9860
36 27.5713
37 28.1489
38 28.7188
39 29.2813
40 29.8364
41 30.3844
42 30.9253
43 31.4593
44 31.9865
45 32.5071
46 33.0211
47 39.2743
48 39.2743
49 39.2743
50 39.2743
51 39.2743
52 39.2743
53 39.2743
54 39.2743
55 39.2743
56 39.2743
57 39.2743
58 39.2743
59 39.2743
60 39.2743
61 39.2743
62 39.2743
63 39.2743
64 39.2743
