timestamp_ms,AnalyzePatchRangesMicroseconds,ArenaAllocBytes,ArenaAllocChunks,CompressedReadBufferBlocks,CompressedReadBufferBytes,ConcurrencyControlDownscales,ConcurrencyControlPreemptedMicroseconds,ConcurrencyControlPreemptions,ConcurrencyControlSlotsAcquired,ConcurrencyControlUpscales,ConcurrencyControlWaitMicroseconds,ContextLock,ContextLockWaitMicroseconds,CreatedReadBufferOrdinary,DiskReadElapsedMicroseconds,FileOpen,FilteringMarksWithPrimaryKeyMicroseconds,FunctionExecute,GlobalThreadPoolExpansions,GlobalThreadPoolJobs,GlobalThreadPoolThreadCreationMicroseconds,IOBufferAllocBytes,IOBufferAllocs,InitialQuery,JoinBuildTableRowCount,JoinOptimizeMicroseconds,JoinProbeTableRowCount,JoinReorderMicroseconds,JoinResultRowCount,LocalThreadPoolExpansions,LocalThreadPoolJobs,LocalThreadPoolLockWaitMicroseconds,LocalThreadPoolShrinks,LocalThreadPoolThreadCreationMicroseconds,MarkCacheHits,OSCPUVirtualTimeMicroseconds,OSCPUWaitMicroseconds,OSReadChars,OpenedFileCacheHits,OpenedFileCacheMicroseconds,OpenedFileCacheMisses,PartsLockHoldMicroseconds,PartsLocks,QueriesWithSubqueries,Query,QueryConditionCacheHits,QueryConditionCacheMisses,QueryPlanOptimizeMicroseconds,RWLockAcquiredReadLocks,ReadBufferFromFileDescriptorReadBytes,ReadCompressedBytes,RealTimeMicroseconds,RowsReadByMainReader,RowsReadByPrewhereReaders,SelectQueriesWithSubqueries,SelectQuery,SelectedBytes,SelectedMarks,SelectedMarksTotal,SelectedParts,SelectedPartsTotal,SelectedRanges,SelectedRows,SharedPartsLockHoldMicroseconds,SharedPartsLocks,SoftPageFaults,SynchronousReadWaitMicroseconds,SystemTimeMicroseconds,ThreadPoolReaderPageCacheHitElapsedMicroseconds,ThreadPoolReaderPageCacheMiss,ThreadPoolReaderPageCacheMissBytes,ThreadPoolReaderPageCacheMissElapsedMicroseconds,UserTimeMicroseconds,WaitMarksLoadMicroseconds
5008.82,174,262144,64,151953,10012097574,30,46278365,769,64,64,344,1031,19,576,2089514,0,7,59755,13,58,16131,117508164,1154,1,4,6109,189260021,8,757040084,57,26478,490196,2,60527,576,91681956,23049270,3196436625,576,1602,0,9,1,3,1,2,2,6706,3,3181122397,3154944541,171825058,192339419,192355803,3,1,10001649820,73389,73389,2,2,2,192339423,13,3,197657,16845794,2822049,104801,26412,3181122397,1984713,88862900,7556
10012.67,174,262144,64,221257,14579813692,60,79802152,913,65,65,344,1477,19,576,2496648,0,7,87057,13,58,16131,117508164,1154,1,4,6109,275766218,8,1102741920,57,38520,490690,2,60527,576,112008858,23057027,4657744111,576,1602,0,9,1,3,1,2,2,6706,3,4636055304,4594515670,227187437,280095309,280095309,3,1,14564956100,73389,73389,2,2,2,280095313,13,3,204400,17773624,2983078,119176,38453,4636055304,2377472,109030859,7556
15018.32,175,262144,64,295109,19445834178,73,95818203,1105,79,79,344,1954,19,630,2918470,2,7,116042,13,58,16131,126955344,1262,1,4,6109,367475125,8,1469706708,57,51992,492271,2,60527,630,133601457,23060931,6289702636,628,1613,2,9,1,3,1,2,2,6706,3,6260932174,6133428922,266448001,373211556,373227940,3,1,19407000944,73389,73389,2,2,2,373211560,13,3,239868,18800334,3211806,135316,51911,6260932174,2783154,130395670,7655
20022.74,177,262144,64,443484,29223817990,103,129709980,1421,110,110,344,2911,19,630,3846253,2,7,174100,13,58,16131,127269060,1262,1,4,6109,551124854,8,2204370224,57,80068,499321,2,60527,630,179911811,23070345,9678196338,628,1613,2,9,1,3,1,2,2,6706,3,9634659188,9235235939,350413059,559696298,559712682,3,1,29104207528,73389,73389,2,2,2,559696302,13,3,323981,21114490,3764355,171431,79956,9634659188,3674822,176155320,7655
